omega_c	mmH1	mmH2	mmH3	mmA0	mmHch	lam1	lam7	m11	aDM	WH1	WH2
3.3627608441846556E-05	1.2509000000000000E+02	1.3367382103433079E+02	4.4745134846188654E+02	4.5070510170920988E+02	1.3381102119051434E+03	2.6282944555060448E+00	3.3524577310553090E+00	7.7418887673140915E+01	-1.5642321972780693E+00	2.1148356084788118E-04	5.3400126071185697E-03
1.9721558074337014E-05	1.2509000000000000E+02	1.6924412267863477E+02	8.2408551032379523E+02	8.2697169735886700E+02	1.2681913453238976E+03	3.8233357260578016E+00	1.1269115102462989E+01	5.3395403083597955E+01	-4.8476760229646088E-01	4.1203925770253750E-03	8.1179814104028719E-02
2.0394757355331560E-05	1.2509000000000000E+02	1.5325656028300830E+02	7.2458574821920399E+02	7.2696496310502516E+02	1.3438432291587085E+03	8.4543254771988501E+00	1.0515548819310753E+01	6.8942200493040588E+01	-1.4558758775805392E-01	5.0996799572267330E-03	1.2902392726647506E-04
1.5558303068067782E-05	1.2509000000000000E+02	1.6624550422163472E+02	7.6518132910839347E+02	7.7065026993427909E+02	1.5060185167733666E+03	1.3796213072024385E+01	7.3032881487176233E+00	8.3733128537765296E+01	-1.6227017230814500E-01	5.0744383498614451E-03	7.8847530287784792E-03
8.9120552744767618E-06	1.2509000000000000E+02	1.2684260752521111E+02	2.0756507406829161E+02	2.0922428130601730E+02	7.7617579061825563E+02	1.2966561082595288E+01	1.1934798201841673E+01	5.3848528443299479E+01	-8.2018053255893308E-01	2.5344759394370694E-03	2.7081689077189980E-03
9.3004702386491464E-04	1.2509000000000000E+02	1.5708943247344320E+02	1.1784142990030415E+02	1.2349445581598880E+02	6.7430205476670608E+02	8.3585992805001315E+00	5.5968742772456608E+00	7.7826693758753450E+01	-4.0502957950204999E-01	4.4294225234005865E-03	9.7588650584476844E-04
1.1708045660549857E-05	1.2509000000000000E+02	1.5235702432952218E+02	8.6707872581532172E+02	8.7390631373687950E+02	1.7044076812706926E+03	1.1463134173379807E+01	7.2522052442432408E+00	2.0847297770831407E+01	-7.1308947681102741E-01	3.0678385428580903E-03	2.6079576511826240E-03
1.4623924569212508E-05	1.2509000000000000E+02	1.5647017590687619E+02	9.1402824025788721E+02	9.2008193420250052E+02	1.4019444923624137E+03	3.5376133165497397E+00	7.6952829455934850E+00	2.9986024601378487E+00	-6.6674862591271578E-01	3.2949543353364696E-03	2.3942185909129094E-03
2.7504376013969814E-05	1.2509000000000000E+02	1.5090251474368037E+02	8.9967681018154917E+02	9.0257208727419936E+02	9.9521202889513779E+02	4.8140690957727230E+00	9.0912504941649963E-01	6.6218338260994443E+01	-5.1641794321208212E-01	3.9873223632698341E-03	1.4714999801447584E-03
3.9681334464580518E-05	1.2509000000000000E+02	1.7337299486464030E+02	3.5144795687005296E+02	3.5957220900318225E+02	1.0510290608746136E+03	1.1941395690963322E+01	2.5257467429739178E-01	3.6284697932789427E+01	-1.8526017789914828E-01	5.0353433159080691E-03	1.5736305453212970E-02
5.8179548956218542E-05	1.2509000000000000E+02	1.3616197187890856E+02	4.1850948253111420E+02	4.2705909943071146E+02	6.4592950572070174E+02	1.2004562724709771E+01	3.3724221960047363E+00	9.3392704120088695E+01	-1.2278457813455581E+00	7.7591260907515795E-04	4.8254918610023505E-03
9.6094933712267109E-05	1.2509000000000000E+02	1.3398148933761357E+02	2.4210927500022075E+02	2.4683653946352962E+02	7.0520338209122576E+02	3.8974915494199340E+00	1.8487375986523635E+00	4.0660871513029967E+01	-9.9497977313603903E-01	1.6918525716667740E-03	3.7655905233983981E-03
2.1844291179202698E-04	1.2509000000000000E+02	1.4808260016204446E+02	2.3813053559890506E+02	2.3827275190887633E+02	5.1322991822996642E+02	3.1790496725025821E+00	5.2389605445503076E+00	7.8908347629899325E+01	-1.1986600792303264E+00	8.7145762564344749E-04	5.1388475739625045E-03
