Omega	Omega_err	mH1	mH2
0.00203707	3.60273e-07	749.1	775.431
0.00043387	4.39642e-08	772.539	928.475
0.000294607	8.97529e-08	548.539	699.098
0.000950392	1.90396e-07	690.102	752.628
6.60215e-05	1.69046e-08	476.095	720.858
0.000102767	1.95818e-08	620.878	715.459
9.143e-05	1.20866e-08	587.191	708.343
0.000234362	4.13013e-08	615.141	629.295
0.000916947	1.87483e-07	478.195	481.54
0.000365263	1.21565e-07	254.852	408.491
0.000557282	8.11819e-08	421.486	586.335
0.000966618	1.85802e-07	650.861	730.188
0.000298203	8.7661e-08	622.954	827.521
0.000132626	4.02617e-08	341.565	756.572
0.00127656	1.58937e-07	648.078	687.127
0.000906627	3.01661e-07	686.68	941.355
0.0212176	2.46461e-06	594.65	939.229
0.00125979	1.83734e-07	785.431	930.286
0.000104711	2.72953e-08	686.686	889.806
0.00127499	3.12664e-07	712.693	843.387
1.41546e-06	2.21523e-10	179.194	525.016
0.000486816	1.45227e-07	666.686	837.013
0.000447354	3.54842e-08	693.587	722.406
0.000243446	2.44083e-08	822.5	937.849
0.000857197	2.86145e-07	652.944	987.597
0.0060778	1.67891e-06	883.315	889.638
0.0128762	2.52229e-06	639.455	718.821
0.000315479	3.76589e-08	747.716	779.559
0.00011568	3.28694e-08	426.105	564.423
0.000901762	2.32622e-07	755.787	921.585
0.00620416	1.62075e-06	603.945	605.508
0.00177788	3.09541e-07	725.631	729.665
0.00109973	1.42041e-07	361.884	415.492
0.000629236	2.3382e-07	149.285	692.26
0.00196922	3.35554e-07	696.177	719.695
0.000704935	1.53613e-07	446.351	457.286
0.000117261	3.37371e-08	319.347	512.528
0.000145576	1.38759e-08	464.663	494.434
0.000474713	1.65162e-07	292.348	803.731
0.0024961	2.64886e-07	438.96	569.441
0.0007115	2.0955e-07	581.088	646.666
0.00290181	8.81608e-07	761.487	775.228
0.00244693	5.61163e-07	801.139	951.161
0.000400862	1.25394e-07	584.383	861.587
0.000979394	1.74088e-07	491.68	562.548
0.000114953	1.0407e-08	585.204	692.177
5.42596e-05	1.39359e-08	380.11	563.651
0.000147634	4.09887e-08	669.809	973.217
0.00165117	1.55937e-07	826.269	880.525
0.061258	5.61624e-06	611.193	618.937
0.000675998	1.29915e-07	419.716	438.608
0.00103912	3.32193e-07	245.098	248.574
0.000296631	9.71783e-08	354.615	502.73
0.00808676	8.51974e-07	805.937	877.369
0.00120644	3.49561e-07	312.481	384.789
0.000170449	5.07994e-08	469.777	641.531
0.000133885	3.63114e-08	609.987	898.108
9.36578e-05	2.0213e-08	463.426	634.589
0.000270511	9.26061e-08	780.325	889.113
0.00100863	1.15559e-07	401.312	474.209
0.0252923	6.67653e-06	963.612	972.859
0.0150654	1.79507e-06	778.241	982.794
1.14111e-05	2.19912e-09	232.976	734.281
0.000489216	1.52918e-07	625.273	828.18
0.0039658	1.46505e-06	545.592	721.157
0.00119848	2.72311e-07	663.886	664.276
0.00152734	1.81953e-07	401.172	437.136
0.00139707	2.06529e-07	664.038	718.811
0.00056635	1.93512e-07	297.166	384.026
0.000476697	1.52182e-07	445.515	574.956
0.000254806	8.17215e-08	350.49	722.485
0.000230399	1.32227e-08	779.159	826.91
0.000245586	2.54757e-08	467.133	564.468
0.0041615	5.22831e-07	145.324	220.639
0.0070831	8.47774e-07	736.453	925.091
0.00020749	5.85296e-08	306.811	392.938
0.00109768	2.673e-07	378.145	442.171
0.0014036	3.2253e-07	478.035	479.906
0.000687836	1.65262e-07	732.821	895.271
0.000609899	1.64723e-07	570.007	572.949
0.000458145	1.29922e-07	685.16	841.941
0.00177557	3.58509e-07	776.959	867.858
0.00658193	7.12548e-07	885.553	913.314
1.51079e-05	5.33683e-09	125.685	512.998
0.00243372	7.38222e-07	170.024	198.055
9.37547e-05	9.74437e-09	549.299	587.899
0.00424264	1.27462e-06	700.531	700.64
0.0190903	2.24512e-06	656.136	917.434
0.0172127	4.95594e-06	838.279	973.205
0.00038306	1.11323e-07	562.928	708.121
0.0120099	1.25699e-06	531.134	562.307
0.000839049	2.86338e-07	610.648	611.589
0.000193598	5.66338e-08	551.084	680.734
0.00137665	1.07948e-07	850.623	905.131
0.000359801	2.62342e-08	650.132	682.023
0.0271003	2.21306e-06	881.487	940.81
0.000220764	3.82583e-08	650.939	712.364
0.000337256	1.00357e-07	343.592	457.156
0.00016849	4.77685e-08	339.579	609.726
0.000250061	6.05199e-08	527.607	624.331
0.000330894	2.19973e-08	834.487	945.491
0.00076059	2.7176e-07	411.127	511.678
6.28847e-05	1.62084e-08	471.647	954.445
0.00211125	2.22702e-07	104.933	629.947
0.000236425	7.12116e-08	269.866	687.26
0.0126366	1.48377e-06	392.795	854.321
0.000258483	1.84578e-08	585.647	615.892
0.00314139	3.49062e-07	347.054	715.335
0.000309078	5.66489e-08	621.112	769.206
0.00130926	1.30607e-07	460.269	485.497
0.000413006	1.20733e-07	326.656	559.51
0.00295917	5.23075e-07	723.264	763.065
0.000289205	8.30774e-08	645.157	905.219
0.000914066	3.16787e-07	550.278	676.674
0.000725935	8.71042e-08	616.966	730.046
0.00123368	3.595e-07	488.306	519.187
0.000267048	9.95036e-08	133.905	577.274
0.000326906	6.7712e-08	422.566	503.608
0.00974913	1.09858e-06	587.038	742.381
0.00596285	7.40426e-07	249.581	737.62
7.98933e-05	1.79709e-08	455.491	532.184
0.000161196	1.54443e-08	600.279	707.901
0.00158048	3.35323e-07	449.817	457.247
0.00050791	1.59218e-07	392.079	522.935
0.00030059	9.08556e-08	562.47	816.601
0.000770949	2.6775e-07	398.724	484.233
0.00218152	5.00637e-07	874.724	965.719
2.65691e-05	5.92008e-09	156.323	753.045
0.00236283	8.62841e-07	189.404	198.552
0.000451664	9.23459e-08	668.556	868.027
0.00974761	1.23508e-06	584.839	728.375
0.000451093	1.49447e-07	369.123	783.427
0.000132594	3.77974e-08	566.347	717.808
0.000132011	3.68322e-08	201.799	726.787
0.0119716	3.33705e-06	772.791	782.974
3.18388e-05	7.13904e-09	185.68	482.484
0.000391769	7.10584e-08	665.168	753.843
9.66229e-05	2.61712e-08	342.034	570.075
0.00181034	4.05788e-07	501.728	554.214
0.00032262	3.29859e-08	804.894	926.815
0.000145609	2.17453e-08	669.466	805.249
0.000283056	4.40769e-08	624.525	636.924
0.0001249	3.38068e-08	626.987	890.373
0.00025746	8.23344e-08	408.197	922.019
0.000175107	5.27255e-08	467.055	735.33
0.000179662	4.98697e-08	479.946	661.603
0.00189694	2.02377e-07	487.511	831.08
0.0012874	3.27567e-07	390.372	409.35
2.03341e-05	4.06484e-09	245.02	852.339
0.000594165	1.06717e-07	817.033	911.248
0.000331626	5.24501e-08	887.489	911.095
0.00190456	6.47336e-07	524.904	659.469
0.000357707	1.26625e-07	340.328	783.237
0.000975871	3.7062e-07	881.996	971.948
0.000671787	8.09268e-08	717.402	739.341
0.00232467	3.13235e-07	417.002	422.368
0.00825558	1.85176e-06	786.123	923.801
0.000871612	1.13451e-07	876.605	897.811
0.000472639	1.59107e-07	375.889	683.327
0.000250889	7.78345e-08	573.774	835.888
0.000240053	2.0428e-08	593.405	636.939
0.00163069	2.31945e-07	868.395	889.649
0.00117825	1.25126e-07	490.754	762.812
0.00178883	2.03886e-07	891.379	910.203
0.000356223	9.04571e-08	891.747	989.111
0.000266153	3.10372e-08	588.088	735.785
0.000178702	5.32485e-08	460.342	867.495
0.000324513	1.01263e-07	250.994	381.318
0.000175276	2.4149e-08	589.439	649.078
0.000111289	2.83576e-08	414.564	561.345
0.000835515	2.87484e-07	656.327	867.255
0.00052845	1.7486e-07	245.193	576.534
0.000311969	1.01077e-07	215.512	350.075
0.0220536	2.54828e-06	722.963	744.761
0.00238098	3.08192e-07	791.459	835.991
0.0128744	2.55721e-06	363.228	372.871
2.39037e-05	5.06956e-09	213.542	822.114
0.000626288	8.745e-08	706.289	728.17
0.000115702	1.9083e-08	524.606	546.615
0.000249336	6.84596e-08	688.567	862.956
0.000659347	4.60458e-08	572.773	609.486
0.0143319	1.86912e-06	797.662	798.623
0.000275682	6.23762e-08	463.229	534.633
0.00949406	2.54259e-06	940.098	945.66
0.000509233	6.74304e-08	617.546	646.228
0.000461131	6.6491e-08	791.422	824.985
0.000237508	4.58891e-08	548.135	558.101
0.00126362	2.98394e-07	756.088	757.322
0.00027445	1.10202e-07	761.922	835.387
0.00182176	4.10239e-07	847.885	849.869
0.000950571	1.0035e-07	379.662	549.454
4.60127e-05	1.06915e-08	641.253	855.433
0.000928647	3.01408e-07	725.992	927.196
0.000163642	4.71486e-08	491.773	619.232
0.000205435	7.76303e-08	569.831	623.967
0.000142215	3.99868e-08	460.426	563.812
0.000498987	1.23278e-07	679.166	890.488
0.000838435	1.20853e-07	859.338	947.536
0.0451954	5.73684e-06	224.503	255.454
0.000120549	3.53573e-08	428.206	746.863
0.000893983	3.02132e-07	608.128	808.852
0.000588906	1.62229e-07	259.233	314.935
0.000203706	5.94378e-08	446.425	663.333
0.000477129	7.52878e-08	602.774	618.538
0.000327524	1.05879e-07	203.402	379.492
0.000398158	1.15187e-07	755.658	999.378
0.000145326	3.70979e-08	246.917	294.354
0.000522158	7.61804e-08	658.076	661.046
0.000838979	1.93161e-07	768.557	989.829
0.00030577	5.07639e-08	407.452	550.046
0.00595542	8.28581e-07	655.289	681.522
0.00531501	1.35585e-06	869.227	979.55
0.000549421	1.84257e-07	428.652	669.913
0.00409376	4.98969e-07	694.658	711.624
0.000243264	7.13938e-08	615.131	840.623
0.000526341	5.55597e-08	473.942	564.685
8.55517e-06	1.85077e-09	132.848	654.77
0.000488273	7.90912e-08	695.487	712.785
0.000247722	7.57802e-08	546.743	715.669
0.000281193	4.50808e-08	720.657	805.416
0.00209647	2.26052e-07	358.033	580.182
0.000475652	8.96465e-08	562.962	583.851
0.000190474	4.31342e-08	470.61	488.776
0.0080239	1.04933e-06	671.479	675.092
0.000129363	3.79646e-08	421.049	603.522
0.000868218	1.0764e-07	194.272	705.458
0.00985973	6.20336e-07	572.115	583.692
0.000306043	9.7045e-08	305.882	590.595
0.00046281	1.85602e-07	698.368	755.801
0.000394381	7.99995e-08	485.69	657.522
0.00130625	4.20369e-07	743.765	973.224
0.000165946	3.37106e-08	451.514	585.275
0.000152482	4.81964e-08	187.105	321.38
0.000107904	1.38158e-08	625.172	709.128
0.000489011	6.44811e-08	899.473	916.99
0.000812542	7.55101e-08	508.636	542.74
0.000102932	2.89396e-08	342.441	588.174
0.000462965	1.21536e-07	633.932	816.378
0.00378123	8.1374e-07	836.14	893.777
0.00679919	8.27048e-07	715.788	787.123
0.00079852	2.85342e-07	368.488	655.049
7.70547e-05	1.61704e-08	731.286	873.209
0.00230993	2.22062e-07	766.167	768.654
0.000605298	2.15778e-07	279.482	644.823
0.00011642	3.39228e-08	430.581	737.417
0.0109009	2.04491e-06	679.82	709.666
0.000104338	1.60414e-08	540.942	626.451
0.000238703	7.98613e-08	188.551	455.889
0.000182786	2.14448e-08	713.414	874.01
0.0010895	1.4731e-07	663.193	663.545
0.00093163	1.66997e-07	636.754	644.806
0.000233477	6.51507e-08	674.018	909.198
0.000400148	1.2247e-07	691.573	887.95
0.00140244	2.60557e-07	597.466	694.607
0.00221102	4.8015e-07	872.64	910.002
0.000527505	5.16995e-08	705.325	784.693
0.000356512	8.08048e-08	341.737	616.173
9.05477e-05	2.53936e-08	185.461	443.04
8.59596e-05	1.56577e-08	584.081	714.615
0.000224683	3.1466e-08	438.619	566.632
0.00029763	4.76689e-08	259.294	408.808
0.000715465	2.5043e-07	514.072	757.106
0.00185158	1.97882e-07	619.485	917.702
0.000424348	8.90391e-08	280.828	315.98
8.4868e-05	1.67826e-08	593.404	696.765
0.000325572	1.01405e-07	456.415	700.407
0.05828	7.2799e-06	722.852	727.196
0.00091973	1.82208e-07	540.148	571.187
0.00351466	1.42039e-06	768.012	775.097
0.000101733	2.97574e-08	424.183	655.45
0.000303885	5.52998e-08	557.583	629.211
0.000296765	9.13611e-08	612.351	909.284
0.00211346	1.69028e-07	91.192	430.481
0.00106654	1.11738e-07	407.573	702.739
0.0217928	2.51676e-06	427.18	570.477
0.000611122	2.03312e-07	175.626	225.94
8.8477e-05	1.98303e-08	441.461	600.826
0.00124829	2.11211e-07	712.77	818.831
0.00271997	2.67995e-07	495.739	497.747
0.000446481	5.70337e-08	948.986	970.155
0.00027123	6.04752e-08	448.161	532.142
2.88676e-05	6.46648e-09	188.898	336.488
0.00113434	1.43529e-07	388.852	474.514
0.000295114	1.88333e-08	773.201	863.161
0.000316329	1.04345e-07	333.797	567.042
0.0108313	1.24137e-06	428.147	957.893
1.04137e-05	2.21992e-09	166.234	821.068
1.19811e-05	2.44713e-09	268.61	921.078
0.000415249	4.06053e-08	831.154	923.625
0.000587018	1.95838e-07	443.147	938.91
0.000200149	2.87194e-08	714.177	820.526
0.000862637	2.51934e-07	730.604	888.39
0.00129176	3.40849e-07	562.913	763.141
0.00226056	6.27864e-07	548.846	555.87
0.00437836	4.76573e-07	596.864	831.048
8.47751e-05	2.32537e-08	305.21	524.488
0.000131162	2.19442e-08	726.765	820.11
0.00219524	3.3751e-07	776.335	801.782
0.00118268	1.18428e-07	700.408	794.361
0.00411158	1.47642e-06	668.174	848.813
0.000153558	4.493e-08	462.386	664.345
7.68512e-07	1.27995e-10	200.719	889.024
0.000307762	1.00996e-07	222.737	378.285
1.34573e-06	2.28484e-10	209.614	730.012
0.000218949	2.36445e-08	638.355	685.948
0.00850017	9.63682e-07	587.773	674.448
2.00164e-06	3.56108e-10	169.846	914.505
2.36059e-05	4.75727e-09	209.267	567.12
0.00275514	8.72929e-07	673.955	674.753
0.000821865	1.31556e-07	802.915	845.84
0.000229095	6.72474e-08	460.879	613.184
0.000160813	2.11404e-08	488.606	514.344
0.000294218	9.01356e-08	387.457	682.541
0.00116137	2.06282e-07	898.814	904.106
0.00396778	4.56792e-07	729.603	878.36
0.00146143	5.21053e-07	323.426	430.929
0.000165902	1.7036e-08	404.294	490.593
0.000127797	3.5954e-08	305.138	517.366
0.00115632	2.62126e-07	603.999	613.395
0.000163113	2.00035e-08	572.134	717.971
0.00317338	5.91567e-07	821.666	829.813
0.000766466	2.65392e-07	162.454	262.477
0.000390185	9.43145e-08	725.273	778.655
