Omega	Omega_err	MA1	svev	alpha
0.0356566	0.00017075	878.489	235.833	-1.29137
0.000700121	2.21191e-06	359.248	266.136	-1.5111
0.00017978	2.33524e-06	228.93	783.728	0.418699
0.000605184	2.05528e-06	422.807	289.929	0.896219
0.00314918	1.31081e-05	665.751	82.4975	-1.1785
0.00365172	1.46902e-05	811.372	361.114	-0.430021
0.000287936	1.23222e-06	278.55	249.386	-1.32608
1.31298	0.00965928	733.329	969.175	-0.376318
0.000240266	7.03798e-07	516.987	469.688	0.564852
0.00624327	2.78315e-05	456.449	699.1	1.13878
0.0229817	0.00104371	53.65	496.264	0.472562
3.01537e-06	1.21534e-08	260.25	436.261	-0.256715
0.0012599	4.27973e-06	646.398	543.614	1.31249
0.0653562	0.000356739	453.789	281.618	0.0271202
0.000366891	1.09577e-06	366.488	586.942	0.636483
0.000210839	6.55343e-07	733.895	83.7303	-1.22237
0.000551994	1.55038e-06	307.875	790.915	-0.695051
0.000168222	4.77495e-07	924.634	142.101	0.748134
0.00131674	4.53637e-06	429.782	389.171	1.49499
5.55708e-05	2.36897e-07	357.378	394.762	0.488805
1.09996	0.00835015	806.849	573.797	-1.55762
1.2118	0.00985835	395.422	513.315	-0.660996
48.5337	0.563537	639.525	992.205	0.739706
0.0117147	5.19899e-05	614.282	846.517	-0.267313
0.0132847	8.1556e-05	163.917	693.976	1.29908
3.97758	0.0364626	474.722	651.996	-1.2617
0.000326879	1.00824e-06	828.016	75.1864	1.23745
0.715594	0.00549179	415.157	549.935	-0.923649
0.000365687	1.10682e-06	929.412	210.978	-0.795849
0.00927586	4.04243e-05	790.135	536.736	-0.436912
4.55347e-05	1.15179e-07	593.132	97.2859	-0.0709984
0.00461479	1.92786e-05	571.834	892.42	-0.846785
3.23974e-06	6.3759e-09	428.804	144.825	0.648393
0.00436844	1.80074e-05	802.24	804.975	1.23404
0.0108349	5.05515e-05	362.711	786.914	0.629213
3.76639	0.034825	463.137	906.372	0.795409
0.105656	0.000596981	805.535	999.86	-0.200545
0.0160702	0.000100663	108.141	797.294	0.508485
0.114826	0.000657308	802.597	140.117	0.528042
