Omega	MA1	MH	MS1	alpha	svev	WH	WS1
0.00214446	276.085	125.09	801.743	-0.205189	780.58	0.00580267	20.9677
0.00221866	689.012	125.09	700.886	-0.160935	287.699	0.00589856	6.57679
0.00387048	317.673	125.09	341.81	-0.0925413	148.835	0.00600231	0.197933
0.0124926	821.48	125.09	857.048	0.0513231	303.186	0.00603807	1.12934
0.000757119	421.764	125.09	701.903	-0.119158	431.51	0.00596845	3.53168
3.59146e-05	197.96	125.09	413.771	0.0814712	568.598	0.00601391	0.916264
0.0475635	902.399	125.09	426.114	0.0161682	423.207	0.00605242	0.0128652
0.0929624	133.265	89.0259	125.09	1.44792	257.871	6.42416e-05	0.00596306
0.0817597	385.979	125.09	831.028	-0.00214703	710.016	0.00605398	4.195
0.00034412	238.714	125.09	719.574	-0.193063	237.006	0.00583114	58.0057
0.00100552	245.865	125.09	989.567	0.276059	402.887	0.00560424	92.3147
2.53345e-06	414.835	125.09	847.121	0.117388	336.109	0.00597096	16.2046
0.00199677	715.281	125.09	985.475	0.0749242	343.717	0.00602008	3.5954
0.114627	952.694	125.09	558.284	0.188892	939.943	0.00584055	4.11546
0.00173627	288.532	125.09	831.153	0.26306	897.644	0.00564464	30.1598
0.0473672	597.95	125.09	899.061	-0.0379012	957.478	0.00604531	0.727299
0.00367896	229.272	125.09	641.896	-0.122825	562.511	0.00596313	8.58225
0.0114999	122.871	125.09	766.625	0.247693	447.825	0.00569012	37.2748
0.000123452	467.216	125.09	999.124	0.0790139	781.46	0.00601629	9.93353
0.0197474	408.034	125.09	259.65	-0.100034	284.447	0.00599363	0.0661517
0.00226316	473.579	125.09	727.04	-0.222373	970.177	0.00575954	13.1769
0.00815519	316.053	125.09	899.299	-0.0992717	918.383	0.00599454	11.0412
0.0592734	638.477	125.09	686.349	0.0526737	528.161	0.00603722	0.62273
0.028442	119.339	125.09	312.411	0.105609	598.616	0.00598673	0.701362
0.0130476	863.845	125.09	874.581	-0.156892	774.312	0.0059062	11.4973
0.0148293	695.996	125.09	830.692	0.107786	758.807	0.00598394	4.52661
0.0202198	627.282	125.09	756.648	0.111066	848.327	0.00597963	3.6543
0.100623	599.399	125.09	413.439	-0.0167668	538.685	0.0060523	0.0125031
0.0019531	830.366	125.09	987.123	0.256496	728.847	0.00566437	39.8455
0.0450404	780.652	125.09	850.281	-0.0414617	462.089	0.0060436	0.743321
0.0250325	253.706	125.09	366.865	-0.0873756	547.846	0.0060079	0.215691
0.000206091	709.918	125.09	186.552	-0.144627	53.1449	0.00592825	0.0189208
0.0363713	885.838	125.09	495.792	-0.0314194	448	0.00604803	0.0829392
