Omega	Omega_err	MA1	svev	alpha
0.0010028	1.26718e-06	172.103	193.82	-0.171062
0.00765914	1.16643e-05	130.912	972.01	0.179578
0.078066	8.5995e-05	778.948	821.757	0.0535412
0.0135542	1.7027e-05	732.053	290.698	0.147153
0.00165781	2.71834e-06	226.802	631.266	-0.13535
0.085877	8.91093e-05	571.42	615.447	-0.18065
0.0789232	7.5495e-05	100.043	881.913	0.22966
0.0983336	0.000103979	601.838	810.347	0.0707798
0.00691088	8.00095e-06	211.586	349.823	-0.0952608
0.00971045	1.28592e-05	742.315	677.645	0.210637
0.0244047	3.15835e-05	524.191	399.904	0.0157065
0.00294624	4.40264e-06	855.231	391.245	-0.290612
0.0577337	6.50921e-05	931.538	404.616	-0.237509
0.00343753	4.04161e-06	186.677	411.96	-0.169944
0.0526816	6.0042e-05	930.435	935.57	0.119824
0.00201977	3.10095e-06	965.927	320.893	0.178921
0.108272	0.000107056	727.984	627.372	0.030511
0.000396769	7.57695e-07	518.057	469.303	-0.120978
0.0189926	2.32332e-05	803.157	421.698	0.134244
0.0355488	3.99676e-05	604.833	347.714	0.0411079
0.0004488	8.32872e-07	803.821	352.672	0.256551
2.6388e-05	3.06608e-08	462.38	336.861	-0.112685
0.0280098	3.18043e-05	596.846	508.188	-0.135175
0.0183168	1.87803e-05	162.943	924.124	0.158236
0.00227414	2.73541e-06	175.857	441.59	0.291763
0.0810732	8.65369e-05	411.48	671.656	-0.234836
0.00141554	2.27864e-06	641.743	213.403	0.094269
0.0223249	2.66599e-05	645.58	456.469	-0.0881517
0.0013512	1.35998e-06	409.162	673.634	-0.0826603
0.0139613	1.80117e-05	645.025	716.329	-0.112843
0.0196151	1.82675e-05	339.973	937.744	-0.0464197
0.0595036	7.13017e-05	346.061	633.693	0.0384975
0.076349	8.65873e-05	105.773	469.302	0.316146
0.00263249	3.83132e-06	847.686	273.828	-0.124159
0.0332776	3.81737e-05	668.441	577.014	0.225315
0.0349748	4.18836e-05	267.951	699.591	0.294376
0.0200157	2.05515e-05	181.548	177.898	0.0967091
0.0779233	8.37669e-05	501.618	936.605	-0.126334
0.000222593	4.66974e-07	513.315	759.386	-0.191509
0.00488245	6.57214e-06	464.484	99.9289	-1.43993
0.0129239	1.58713e-05	263.881	195.463	-0.167703
0.02624	2.86433e-05	809.492	435.664	-0.0378359
0.00332511	5.04859e-06	618.964	697.195	0.112665
0.000813288	5.06013e-07	422.263	636.743	-0.059
0.0102646	1.39054e-05	406.691	826.031	0.103269
0.0202884	2.57528e-05	923.191	937.663	0.129402
0.0204533	2.55803e-05	164.162	369.315	0.162413
3.13602e-05	5.19192e-08	238.913	35.6168	-0.319152
0.00521922	6.51251e-06	574.53	241.634	0.0762998
0.083524	9.04648e-05	430.199	801.844	0.122738
0.0111854	1.44852e-05	912.518	336.893	-0.00284325
0.0122271	1.25133e-05	130.557	427.744	-0.128184
0.00392974	6.21937e-06	573.393	769.792	0.0560293
0.00194538	3.02101e-06	513.293	737.691	0.222426
8.87267e-05	2.15448e-07	466.599	274.025	-0.0633251
0.00703946	9.73786e-06	874.336	683.308	-0.259453
0.078965	8.0727e-05	662.888	621.564	-0.0790384
0.0274	3.31659e-05	933.577	833.682	0.199478
0.028245	3.28266e-05	615.501	615.675	-0.21048
0.00126026	1.92977e-06	325.873	382.586	0.147267
9.74144e-05	1.34695e-07	267.179	225.532	-0.252764
0.00818329	8.84697e-06	97.7039	382.398	0.302721
0.00116704	1.93361e-06	863.078	251.829	-0.152477
0.000470053	5.44915e-07	303.11	469.234	-0.150477
0.0827599	9.01326e-05	923.945	832.523	-0.175221
0.00274885	4.86818e-06	496.461	839.425	0.0450786
0.00831226	8.28111e-06	81.9379	160.763	-0.170933
0.0186843	2.27545e-05	704.023	279.038	0.173267
0.00992047	1.02846e-05	108.121	550.433	0.27032
0.000687132	1.0724e-06	440.057	119.117	-0.295915
0.00842034	1.1127e-05	912.428	341.204	-0.0039062
0.000954937	1.64782e-06	773.528	702.255	0.296826
0.00111643	1.70541e-06	479.709	98.8164	-0.0524311
1.12644e-05	9.52928e-09	294.549	277.879	0.159475
0.00101064	1.46908e-06	246.658	158.663	-0.161253
0.0538311	6.13114e-05	963.426	307.517	0.0716782
0.0326374	3.88835e-05	999.796	667.116	0.148012
0.0183113	2.30602e-05	669.839	445.057	-0.0676498
0.0202338	1.55091e-05	79.8232	250.307	0.243047
0.0276527	3.1601e-05	949.91	529.226	-0.0686932
0.0152696	1.96209e-05	851.9	999.13	0.204225
0.0537402	5.89539e-05	415.956	218.969	0.237908
0.00270108	3.65724e-06	221.665	138.507	0.13771
0.000189795	3.30388e-07	343.344	256.691	-0.202569
0.0114215	1.29529e-05	211.033	699.082	0.16224
0.0319539	2.82136e-05	121.673	876.543	-0.198689
0.0381672	4.53616e-05	994.835	972.65	-0.19142
0.00714039	9.63059e-06	229.494	472.428	-0.191779
0.00499659	4.39768e-06	156.469	742.462	0.173567
0.0532744	5.93457e-05	776.869	662.504	0.194935
0.000304286	1.47632e-07	278.074	399.518	-0.031976
0.0272858	3.25012e-05	732.896	775.588	-0.142414
0.0221759	2.37094e-05	142.329	947.654	-0.270165
1.25198e-05	1.54328e-08	397.83	568.873	0.298478
7.83496e-05	3.48582e-08	245.133	517.85	0.104621
0.0814801	8.83759e-05	912.411	856.74	-0.128965
0.00946042	1.05176e-05	269.219	956.931	0.133417
0.0102041	1.30889e-05	649.791	136.011	0.205488
0.0011617	7.50907e-07	313.652	332.908	-0.0336782
0.000913512	1.59645e-06	650.94	460.257	0.113643
0.00140359	2.31535e-06	572.648	850.376	0.212184
0.00717539	7.21242e-06	122.875	447.344	0.228741
0.0426096	3.42664e-05	194.813	870.171	-0.0529743
0.014777	1.85849e-05	946.588	487.96	0.117753
0.0418828	4.48496e-05	420.531	367.978	-0.040446
6.60765e-05	8.80933e-08	424.608	581.488	0.303868
0.00035349	2.19102e-07	271.448	943.139	-0.213586
0.00558847	7.81086e-06	420.758	504.309	0.109875
0.000158801	4.58823e-07	428.321	480.139	0.0386096
0.00116673	1.79756e-06	647.556	198.339	0.165111
0.00619509	4.94463e-06	253.471	742.525	-0.0727872
0.00322224	3.84678e-06	144.359	267.749	-0.183704
0.00300416	4.55526e-06	948.038	493.698	0.204877
0.0106005	1.31951e-05	314.992	293.043	-0.229539
0.000292661	3.83862e-07	216.484	211.9	0.222007
0.0529939	5.25292e-05	105.74	715.627	0.20801
0.000180263	2.42285e-07	405.405	363.159	-0.14118
0.0080674	1.12045e-05	763.164	646.549	-0.0897709
0.000632016	1.11954e-06	573.86	595.715	-0.24722
0.000627173	7.73145e-07	175.815	271.176	0.253839
0.000738045	1.29162e-06	818.275	273.839	-0.220601
0.0353462	4.13812e-05	901.901	338.179	-0.215044
0.039757	4.60714e-05	968.883	792.766	-0.101565
0.00672292	7.45208e-06	168.48	617.126	0.196121
0.0240166	2.89529e-05	833.405	625.114	0.192166
0.00501199	5.53641e-06	238.131	763.283	0.138881
0.00134265	2.31193e-06	606.818	793.59	-0.124388
0.000524285	9.34744e-07	724.884	237.66	-0.318366
8.83955e-05	2.02662e-07	560.773	513.294	-0.209708
0.00064666	1.15766e-06	741.664	483.256	-0.275192
0.00557791	7.74973e-06	599.17	598.549	0.217049
0.000290787	5.44578e-07	598.927	258.84	-0.266357
0.0143234	1.76325e-05	694.672	346.051	-0.0859796
0.019815	2.08203e-05	113.173	511.538	0.244143
0.0812957	7.94697e-05	964.919	632.961	0.0390962
0.00211215	3.35066e-06	777.847	551.94	0.176316
0.00483048	7.64625e-06	290.286	188.393	-0.0171517
0.00350755	4.63113e-06	506.846	212.608	-0.0892811
0.000176884	3.86482e-07	426.493	999.159	-0.214426
0.00314726	3.78593e-06	297.818	869.658	-0.191367
0.0144777	1.85624e-05	563.894	966.886	0.134417
0.0108023	1.3965e-05	767.132	333.144	0.0699439
0.0022666	3.32273e-06	438.725	240.098	-0.149456
0.00904611	1.2052e-05	886.738	363.541	0.198439
8.74588e-05	6.50083e-08	329.971	295.837	-0.0686727
0.00575048	8.21949e-06	781.45	527.995	0.099113
7.90046e-06	1.30867e-08	412.44	294.952	0.0587265
0.00110357	1.81428e-06	862.363	161.487	-0.0834209
0.00283428	4.3392e-06	828.453	293.508	0.090321
0.00395869	5.68373e-06	801.071	191.425	-0.212519
0.00112049	1.89276e-06	933.716	365.242	0.202913
0.00046885	8.08248e-07	580.036	39.6176	1.53405
0.00123496	1.95072e-06	682.506	174.981	0.0933138
0.004835	5.1672e-06	207.457	975.517	0.198035
0.0107553	5.50475e-06	174.759	925.586	0.104714
0.120206	0.000118192	866.556	757.104	0.0513706
0.000319084	5.7745e-07	288.712	293.357	-0.10764
0.0010821	1.72149e-06	601.789	110.572	-0.0464951
0.07675	8.34369e-05	871.076	236.053	-0.179547
0.00337088	1.10913e-06	253.024	969.553	0.0769659
