Omega	mH1
0.107407	645.352
0.0105858	674.136
0.0546747	85.0242
7.2238e-06	124.623
0.0107408	717.083
4.15855e-06	371.046
0.0984274	804.217
0.0140044	901.717
0.0235747	222.831
0.0170319	481.292
0.000128858	532.561
0.0177625	479.138
0.0214662	158.21
0.00205364	192.632
0.000454034	169.135
0.00295487	251.017
0.00430261	182.816
0.0779514	815.303
0.00203345	747.305
0.000953682	232.831
0.000969243	764.8
0.000126907	366.611
0.00122877	868.167
0.000706691	680.228
0.00160524	986.583
0.000228402	449.74
0.0043523	242.524
0.000669948	781.607
0.000110971	394.037
0.0268918	947.489
0.0949092	901.915
0.000216724	475.141
0.117388	818.199
0.000758884	224.64
0.00478879	936.901
0.00271924	164.487
0.0403329	902.288
0.00788287	646.918
0.035774	81.9782
0.0475111	171.231
0.115792	378.553
0.00107788	684.662
0.00405581	388.478
0.00362857	222.227
0.00990626	897.02
0.00567374	290.098
7.30404e-05	578.694
0.00124671	345.311
0.0138578	868.706
0.00806212	938.284
0.00513817	393.673
0.0441488	841.846
0.00745665	969.536
0.0422824	111.29
0.00603766	134.819
0.00055345	654.228
0.112805	705.368
0.000145304	417.224
0.00365026	866.704
0.0341707	228.116
0.000823757	469.958
0.0122363	370.75
0.0470737	857.49
0.0355007	112.73
0.0396971	545.89
0.00335675	490.982
0.0160142	805.001
0.0561683	979.274
0.00321462	404.77
0.00327115	575.709
0.0239886	644.923
0.0432446	167.312
0.0161393	480.87
0.00116579	221.009
0.0155005	224.563
8.14322e-05	520.938
0.00691683	471.185
0.0504741	806.287
0.0199197	795.54
0.00993949	724.849
0.00051241	565.843
0.00200338	575.742
0.000911698	823.16
0.0556255	933.325
0.00163739	850.678
0.0535544	984.546
0.000190458	560.545
0.00442476	990.652
0.018619	230.267
0.0135661	903.095
0.0206927	401.038
0.000564793	553.616
0.0293913	914.206
0.0938483	222.78
0.0502713	700.983
0.078815	816.29
0.000546327	368.101
0.0023379	362.956
0.0444262	410.153
0.00692375	242.652
0.00570754	185.958
0.000743447	212.805
0.0150022	327.975
0.0853356	542.921
3.59564e-05	445.345
0.0634289	691.14
7.81465e-05	442.622
0.0722101	966.363
0.000344139	240.158
1.39226e-05	195.635
0.00013501	314.568
0.0272694	620.887
0.0227644	783.579
0.000360871	303.018
0.0109449	164.73
0.00349261	211.506
0.0116617	418.723
0.000192952	362.163
0.000354921	581.511
0.0324145	151.342
0.0781177	824.291
0.00250404	823.84
0.1129	391.888
0.000124833	229.161
0.0711603	970.427
0.0853713	444.551
0.050892	724.908
0.00202891	260.18
0.00835737	497.634
0.000265361	339.07
0.108072	112.962
0.0982905	632.91
0.0327314	748.877
0.000205163	597.484
0.0149848	184.104
0.000158232	174.222
0.000361106	393.272
0.0411683	210.784
0.0041609	276.445
0.00735489	395.386
0.040101	955.587
1.6818e-05	456.122
0.0126484	759.908
0.033215	544.144
0.000145985	184.358
0.00765664	610.551
0.00325548	895.64
2.45015e-06	477.373
0.0220814	691.974
0.00402137	430.679
0.00254534	976.585
0.0197807	783.291
0.0282857	796.116
0.000827383	327.521
0.00746259	298.734
0.000500782	233.262
0.00140698	685.863
0.000584917	577.291
0.0723016	987.764
0.00367488	163.033
0.00567887	652.912
0.000365714	567.114
0.0225904	206.919
0.00185185	338.907
0.0012205	194.766
0.00120196	226.669
0.000430429	185.84
0.109872	862.262
0.00245777	781.549
0.00547059	868.979
0.03531	222.752
0.0620644	979.501
1.03961e-05	390.162
0.049338	174.468
0.00416377	292.941
3.29044e-05	117.282
0.0750503	127.719
0.0931034	420.468
0.00215801	602.469
0.0554613	402.161
0.0400191	227.216
9.16153e-05	490.441
0.000720395	100.62
0.0336632	816.054
0.0065368	866.798
0.000717468	267.539
0.0211354	337.335
0.00170951	237.209
0.00078377	315.902
0.00344582	356.825
0.00343769	236.674
0.000163425	177.366
0.00517106	855.936
0.100034	175.334
0.00959345	781.088
0.0723252	812.88
0.00184686	718.648
0.00909285	946.047
0.0288994	294.004
3.10907e-05	296.989
0.040149	437.74
0.0223488	886.511
0.0182266	737.109
0.0269597	854.375
4.2665e-05	373.423
0.00329256	275.27
0.00247566	254.995
0.0663555	659.799
0.0451548	800.311
0.0140277	604.494
0.0239272	134.325
0.00146163	339.173
0.0320542	527.196
0.000574127	337.694
0.0493963	113.952
0.000112297	517.233
0.0229936	145.695
0.00478455	241.6
0.0663896	654.292
0.0119373	180.656
0.0528007	832.219
0.00687178	174.452
0.035817	873.978
0.0100969	722.053
0.00026356	418.277
0.000904803	322.029
0.0853156	658.929
0.102452	562.467
0.0887302	773.699
0.0546381	456.347
0.00135066	482.481
0.00324767	543.563
0.00269366	471.964
5.28815e-05	528.224
0.0473294	205.952
0.000524322	346.127
0.0957065	918.929
0.00825144	753.764
0.0528271	980.831
0.00168689	434.96
0.0416341	337.812
0.04849	70.7379
0.00581123	826.941
0.047305	630.387
0.0111789	563.069
0.00381866	833.801
0.00093781	941.07
0.00156428	874.845
0.0934596	286.044
0.0546037	99.8936
0.00686038	127.689
0.0137648	706.814
0.0448055	369.106
0.00149086	589.023
0.0706055	144.085
0.00182835	556.617
0.0842515	147.85
0.00527491	447.771
0.00803572	290.534
0.00562008	910.029
0.00258209	994.555
0.00225795	669.634
0.000246004	451.718
0.000143119	488.009
0.00950369	837.473
0.0052602	592.953
2.47845e-06	458.215
0.0112676	374.353
0.00152206	165.916
0.0816968	942.651
0.0299697	418.329
0.00969366	152.868
0.00353312	449.195
0.00104338	252.784
0.00723675	889.291
0.00189941	598.943
0.00133274	481.702
0.0231455	118.229
0.0681999	693.106
0.00581151	159.823
0.100911	262.296
0.0147028	740.783
0.0323554	805.613
0.00298362	177.982
0.000158557	698.803
0.0048014	825.507
4.55132e-05	326.623
0.0468335	863.463
0.0959883	878.265
0.0322298	78.046
6.48618e-05	340.672
0.000612634	998.225
0.0110138	611.057
0.0823749	497.901
0.00749182	784.027
0.000981047	456.683
0.0393091	529.729
0.0355554	546.764
0.0139798	729.551
0.0401247	433.184
0.000464236	539.489
0.00475302	273.102
0.0137285	265.703
0.00165848	801.215
0.00830896	508.515
0.0492433	827.608
0.00449704	228.07
0.113725	153.557
0.0193728	856.48
0.00137224	216.416
0.0644117	350.044
0.0133099	385.838
0.00711042	811.053
0.0180916	652.043
0.00156766	965.851
0.0248751	343.125
0.00316869	644.813
0.00744502	244.687
0.0305596	338.261
0.00127283	195.726
0.020605	711.775
0.000226139	306.743
0.00232091	309.981
0.00553399	348.09
0.000174716	214.22
0.0106727	455.36
0.0393068	746.525
0.0218667	596.551
0.0350358	949.111
0.000224791	379.416
0.0459305	145.508
0.0175629	886.643
0.0635437	953.72
0.000560251	464.173
0.0039123	904.864
0.0127054	806.786
0.0555175	685.068
0.00513077	190.775
0.0597782	859.988
0.0049816	332.916
0.01503	290.554
0.0240776	393.635
0.000573563	597.134
0.000299138	345.036
0.0252372	937.452
0.00129565	676.751
0.0630013	183.043
0.00272762	790.05
0.0216574	148.078
0.00184935	137.991
0.0115886	921.714
0.00136124	465.347
0.000387266	473.283
0.0723049	884.647
0.000739823	501.552
0.000479784	716.045
0.00206462	111.105
0.0246383	240.478
0.0110931	159.002
0.000674717	582.868
0.00269616	936.042
0.085145	933.131
0.0953581	984.106
0.0263462	624.651
0.0079163	146.647
0.00180682	706.642
0.000361941	110.439
0.00324359	147.198
0.00406812	727.88
0.00116413	300.042
0.000821868	290.523
0.00157842	540.845
0.00241847	423.653
0.000829439	839.742
0.0154238	390.248
0.00242876	561.012
0.000572003	532.987
0.00533474	941.1
0.00329094	740.731
0.000787503	321.441
0.000426319	359.063
0.0168721	244.588
0.00433832	468.311
0.0039424	732.234
0.0938054	392.302
0.111396	338.63
2.56536e-05	284.695
2.24401e-05	381.712
0.000216798	702.274
0.000656834	214.389
0.00651336	437.256
1.96126e-06	407.691
0.000204977	403.843
0.0112199	975.986
0.00094191	338.495
0.0063006	863.546
0.00447787	221.807
0.000198817	599.036
0.0446069	94.8119
0.0382788	751.035
0.0294405	837.143
0.0162208	85.3922
0.0107631	95.0279
0.000702809	210.381
0.0124965	655.527
0.0450489	844.931
0.00111275	620.388
0.0950752	98.3452
0.000565605	565.419
0.059895	173.853
0.00755921	649.69
0.0075652	863.079
0.00142534	320.911
0.0544175	260.484
0.012171	900.29
0.0790766	319.09
0.00425421	262.639
0.0552414	752.119
0.0096217	733.363
0.00121835	987.5
0.00941864	335.916
0.000554771	648.196
0.116697	567.383
0.0369375	864.153
0.0046642	678.038
0.00523895	750.627
0.00749125	829.194
0.0322865	113.812
0.00302595	986.821
0.0107062	114.335
0.000823717	847.895
0.00182423	703.918
0.0079788	641.825
0.00030062	315.24
0.0259718	113.996
0.000185074	362.251
0.00114431	943.44
0.000109229	271.295
0.00222695	173.984
0.0143933	423.937
0.0271886	699.47
0.00618631	274.631
0.00214827	372.96
0.00941215	704.15
0.0101379	711.09
0.00424177	735.835
0.00412024	992.358
0.0053827	183.082
0.0451092	644.988
0.00142869	699.978
0.00417982	802.594
0.00271878	941.311
0.0886473	853.692
0.0426127	138.789
0.0759048	113.516
0.0560231	280.851
0.00228639	176.304
0.000248161	506.498
4.71442e-05	295.202
0.0136195	525.551
0.0586866	649.561
0.00396931	548.611
0.00563744	480.726
0.0125464	658.213
0.0131151	296.275
0.0597124	574.338
0.00789606	153.698
0.00601484	928.815
0.0396287	951.701
0.00677999	928.586
0.00265787	756.056
0.00112819	464.303
0.00540607	792.775
9.89602e-07	169.42
0.000122162	419.259
0.0596511	428.722
0.0470276	97.5165
0.0718619	157.067
0.00887419	638.947
0.00400247	736.545
0.00347611	494.377
0.00214891	779.004
0.0078629	631.554
0.05278	840.331
0.0105557	161.422
0.0448669	177.643
0.000920384	804.286
0.00978515	907.139
0.000838288	240.318
0.00108295	292.19
0.0434242	752.197
0.0132723	554.054
0.00502574	260.217
0.00909218	294.744
0.000545464	264.963
9.88674e-05	238.003
0.000748489	652.496
0.00974333	913.997
0.000258423	409.768
0.0391501	592.221
0.0398868	534.074
0.0265974	565.992
0.00191303	569.283
0.0158175	549.142
0.043759	891.899
0.000455758	330.236
0.0117522	735.794
2.55867e-06	261.89
0.0111928	151.991
0.0750024	167.17
0.00336147	443.558
0.00400722	546.745
0.00796276	606.334
0.00384444	305.054
0.046279	290.469
0.0135577	640.682
0.00960302	712.026
0.00176696	678.869
0.00563616	809.952
0.040167	311.255
0.0209943	140.226
0.00506986	206.957
0.0190539	840.074
0.029182	155.344
0.000516355	599.592
0.0157687	163.109
0.00529509	100.005
0.0121862	612.25
0.00233976	851.889
0.0224358	887.744
0.00745238	112.002
0.00735946	156.849
0.000738148	817.594
0.000640045	455.632
0.0159599	613.689
0.0127896	219.343
0.00167108	781.11
0.00122097	519.492
0.00512854	532
0.00115171	977.2
0.0995966	110.102
0.0510929	872.653
0.00897559	100.665
0.034164	270.34
0.0263994	950.4
0.00042202	481.752
0.000133066	390.151
0.0219215	186.559
5.60712e-05	379.089
0.0123626	703.39
0.00450142	159.087
0.0202991	124.333
0.00155055	159
0.00125602	348.309
0.00153911	829.191
0.110474	113.372
0.0162887	301.469
0.0103936	966.557
0.000664357	642.517
0.00911572	497.192
0.00611847	531.794
0.000623431	164.667
0.00719063	96.8987
0.00894859	695.27
0.00862976	452.511
0.0150203	939.484
0.000860836	276.914
0.00170566	179.089
0.00726839	291.94
0.00145558	810.601
0.110409	640.456
0.0121452	849.794
0.000798419	783.111
0.0239527	294.186
0.0174674	268.624
0.00288879	461.166
0.0489657	595.982
0.0100019	160.29
0.00147383	514.486
0.000829444	600.167
0.0388	510.905
0.0173186	684.04
0.00134539	533.026
0.00437053	474.213
0.00149803	830.761
0.00580084	315.751
0.0747906	118.345
0.000110028	351.494
0.00414904	469.964
0.0194628	312.924
0.000789137	657.222
0.0127489	353.355
0.00303152	135.397
4.88984e-05	509.328
0.0154776	770.665
0.00153791	686.172
0.0467554	929.098
0.00330253	825.345
0.0156194	129.189
0.0034147	206.111
0.000146831	141.022
0.0342318	566.021
0.000252977	572.414
0.00171418	756.315
0.00487661	357.629
0.0117285	607.132
0.00436758	213.837
0.0202056	109.636
0.00100342	172.103
0.00766296	130.912
0.0774952	778.948
0.0135021	732.053
0.0016586	226.802
0.0860732	571.42
0.0789806	100.043
0.0985144	601.838
0.00691537	211.586
0.00967469	742.315
0.0244413	524.191
0.00292001	855.231
0.0573346	931.538
0.00343977	186.677
0.0523077	930.435
0.00200299	965.927
0.10757	727.984
0.000397014	518.057
0.0188377	803.157
0.0356148	604.833
0.000446776	803.821
2.64144e-05	462.38
0.0280675	596.846
0.0183301	162.943
0.00227561	175.857
0.0811072	411.48
0.00141869	641.743
0.0223342	645.58
0.00135186	409.162
0.0139812	645.025
0.0196349	339.973
0.0595358	346.061
0.0763963	105.773
0.00260808	847.686
0.0332557	668.441
0.034997	267.951
0.0200303	181.548
0.0780602	501.618
0.000222677	513.315
0.00488591	464.484
0.0129319	263.881
0.0259768	809.492
0.00333314	618.964
0.000814671	422.263
0.0102681	406.691
0.0201082	923.191
0.0204645	164.162
3.13759e-05	238.913
0.00523332	574.53
0.0835706	430.199
0.0110831	912.518
0.0122361	130.557
0.00393694	573.393
0.00194751	513.293
8.87576e-05	466.599
0.00697268	874.336
0.078825	662.888
0.027184	933.577
0.0282936	615.501
0.00126099	325.873
9.74736e-05	267.179
0.00818894	97.7039
0.00115779	863.078
0.000470571	303.11
0.0821831	923.945
0.00275066	496.461
0.00831816	81.9379
0.0186404	704.023
0.00992759	108.121
0.000687357	440.057
0.00834278	912.428
0.000952006	773.528
0.00111723	479.709
1.12764e-05	294.549
0.00101118	246.658
0.0535891	963.426
0.0325778	999.796
0.0183149	669.839
0.0202526	79.8232
0.0275543	949.91
0.0151295	851.9
0.0537636	415.956
0.00270261	221.665
0.000189901	343.344
0.0114291	211.033
0.0319777	121.673
0.0380718	994.835
0.00714442	229.494
0.0050092	156.469
0.0528748	776.869
0.000304814	278.074
0.0271724	732.896
0.0221913	142.329
1.26003e-05	397.83
7.8497e-05	245.133
0.080863	912.411
0.00946717	269.219
0.0102142	649.791
0.00116313	313.652
0.000915605	650.94
0.00140644	572.648
0.00718047	122.875
0.0427315	194.813
0.01467	946.588
0.041906	420.531
6.61289e-05	424.608
0.00035399	271.448
0.00559022	420.758
0.000158855	428.321
0.00116859	647.556
0.00620716	253.471
0.00322432	144.359
0.00297677	948.038
0.0106074	314.992
0.000292838	216.484
0.0530323	105.74
0.000180345	405.405
0.00803379	763.164
0.000633239	573.86
0.000627577	175.815
0.000733729	818.275
0.0350332	901.901
0.0395948	968.883
0.00672752	168.48
0.0237973	833.405
0.00501549	238.131
0.00134567	606.818
0.000523999	724.884
8.84711e-05	560.773
0.000646017	741.664
0.00559175	599.17
0.000291468	598.927
0.0142974	694.672
0.0198301	113.173
0.0815858	964.919
0.00210349	777.847
0.00483231	290.286
0.00351389	506.846
0.000176954	426.493
0.00314945	297.818
