Omega	Omega_err	mH1	mH2	mHc
0.00117941	9.84771e-05	490.754	762.812	785.612
0.00178995	0.000492095	891.379	910.203	924.517
0.000356453	0.000169173	891.747	989.111	946.176
0.000266441	6.7497e-05	588.088	735.785	641.614
0.000178907	1.8257e-05	460.342	867.495	810.23
0.000324925	2.13386e-05	250.994	381.318	335.302
0.000175431	4.41501e-05	589.439	649.078	707.377
0.000111403	1.51535e-05	414.564	561.345	501.46
0.000836614	0.000149974	656.327	867.255	887.453
0.000529109	2.42189e-05	245.193	576.534	561.361
0.00031236	1.97427e-05	215.512	350.075	294.937
0.0221061	0.00158645	722.963	744.761	723.177
0.00238247	0.000468697	791.459	835.991	819.498
0.0129316	0.0106341	363.228	372.871	373.834
2.39283e-05	2.4266e-05	213.542	822.114	742.172
0.0006268	0.000227279	706.289	728.17	757.63
0.000115808	3.24575e-05	524.606	546.615	686.525
0.000249643	5.44843e-05	688.567	862.956	862.282
0.000659968	0.000177588	572.773	609.486	634.922
0.0143623	0.000739592	797.662	798.623	835.392
0.00027601	3.11587e-05	463.229	534.633	563.964
0.00950573	0.000682036	940.098	945.66	981.092
0.000509626	0.000120848	617.546	646.228	716.355
0.000461405	0.000201181	791.422	824.985	829.799
0.000237696	4.9673e-05	548.135	558.101	632.354
0.00126486	0.0002152	756.088	757.322	799.846
0.000274696	9.19828e-05	761.922	835.387	833.845
0.0018237	0.000246193	847.885	849.869	910.641
0.000951611	8.42994e-05	379.662	549.454	599.127
4.60698e-05	5.94437e-05	641.253	855.433	798.792
0.000929886	0.000146329	725.992	927.196	934.639
0.0001638	1.67296e-05	491.773	619.232	691.319
0.000205633	4.58337e-05	569.831	623.967	632.279
0.000142406	2.27744e-05	460.426	563.812	657.809
0.000499642	8.21991e-05	679.166	890.488	806.428
0.000839121	0.000214381	859.338	947.536	911.775
0.0452724	0.0014291	224.503	255.454	268.142
0.000120674	1.48148e-05	428.206	746.863	635.072
0.000894975	0.000172963	608.128	808.852	782.296
0.000589448	5.14783e-05	259.233	314.935	320.017
0.000203914	2.32971e-05	446.425	663.333	624.116
0.000477583	0.000121323	602.774	618.538	668.004
0.000327928	1.88797e-05	203.402	379.492	369.581
0.000398564	6.28949e-05	755.658	999.378	982.377
0.000145454	8.67005e-06	246.917	294.354	410.081
0.00052278	0.000103942	658.076	661.046	732.366
0.000839893	0.000145966	768.557	989.829	895.914
0.000306063	4.0696e-05	407.452	550.046	460.944
0.00596949	0.000168792	655.289	681.522	759.601
0.00532076	0.000463327	869.227	979.55	958.561
0.000549993	4.5707e-05	428.652	669.913	556.17
0.00409974	0.000315787	694.658	711.624	700.701
0.000243497	4.29208e-05	615.131	840.623	848.064
0.000526758	0.000112647	473.942	564.685	512.279
8.56356e-06	2.54921e-06	132.848	654.77	693.105
0.000488719	0.000128096	695.487	712.785	784.365
0.000248005	4.19543e-05	546.743	715.669	768.334
0.000281369	0.000136368	720.657	805.416	755.002
0.00209921	0.000120805	358.033	580.182	671.922
0.000476091	0.000107357	562.962	583.851	648.941
0.000190633	3.95421e-05	470.61	488.776	631.544
0.00803832	0.000492887	671.479	675.092	681.692
0.000129495	1.30849e-05	421.049	603.522	680.375
0.000869164	3.48407e-05	194.272	705.458	707.957
0.00987815	0.000388351	572.115	583.692	621.674
0.000306351	1.9573e-05	305.882	590.595	560.587
0.000463214	0.000139401	698.368	755.801	752.269
0.000394694	6.45854e-05	485.69	657.522	519.207
0.00130777	0.00013514	743.765	973.224	968.559
0.000166152	2.26407e-05	451.514	585.275	526.957
0.000152688	7.48871e-06	187.105	321.38	366.102
0.000108005	2.55901e-05	625.172	709.128	722.123
0.000489375	0.000190988	899.473	916.99	978.406
0.000813165	0.000148933	508.636	542.74	580.915
0.000103031	8.01917e-06	342.441	588.174	618.441
0.000463527	7.2797e-05	633.932	816.378	764.569
0.00378415	0.000521837	836.14	893.777	878.873
0.0068063	0.000640841	715.788	787.123	809.197
0.000799415	0.00010005	368.488	655.049	635.662
7.71518e-05	6.81806e-05	731.286	873.209	909.097
0.00231203	0.000222279	766.167	768.654	845.281
0.000606095	3.94807e-05	279.482	644.823	531.043
0.000116544	1.44828e-05	430.581	737.417	599.106
0.0109146	0.00122523	679.82	709.666	724.013
0.00010447	5.21068e-05	540.942	626.451	628.877
0.000239011	1.79717e-05	188.551	455.889	280.448
0.000183004	5.91908e-05	713.414	874.01	798.151
0.00109056	0.000184591	663.193	663.545	721.178
0.000932476	0.000215417	636.754	644.806	672.806
0.000233767	5.18877e-05	674.018	909.198	839.068
0.000400694	9.34147e-05	691.573	887.95	897.92
0.00140401	0.000226374	597.466	694.607	642.967
0.00221328	0.000371231	872.64	910.002	909.269
0.00052809	0.000110134	705.325	784.693	818.641
0.000356784	3.28348e-05	341.737	616.173	351.84
9.06356e-05	4.04933e-06	185.461	443.04	504.01
8.60516e-05	4.09318e-05	584.081	714.615	680.522
0.000224869	4.17303e-05	438.619	566.632	487.459
0.000297937	3.21009e-05	259.294	408.808	290.894
0.000716425	7.33022e-05	514.072	757.106	684.483
0.00185362	0.000239546	619.485	917.702	817.529
0.000424756	3.62476e-05	280.828	315.98	408.533
8.49636e-05	3.11255e-05	593.404	696.765	710.805
0.000325877	3.95885e-05	456.415	700.407	750.303
0.058539	0.00487182	722.852	727.196	736.428
0.000920435	0.000201949	540.148	571.187	566.66
0.00351935	0.000255698	768.012	775.097	846.968
0.000101844	1.17393e-05	424.183	655.45	699.222
0.000304265	5.57442e-05	557.583	629.211	667.331
0.000297163	5.24557e-05	612.351	909.284	960.109
0.00211684	5.65125e-05	91.192	430.481	562.083
0.00106778	7.04093e-05	407.573	702.739	682.853
0.0218169	0.000829591	427.18	570.477	580.55
0.000611883	5.11701e-05	175.626	225.94	232.843
8.85657e-05	1.48787e-05	441.461	600.826	521.435
0.00124949	0.000212483	712.77	818.831	841.534
0.00272316	0.000245043	495.739	497.747	576.949
0.000446763	0.000178214	948.986	970.155	984.834
0.000271506	2.77246e-05	448.161	532.142	540.664
2.88972e-05	1.98266e-05	188.898	336.488	294.014
0.00113543	0.000135646	388.852	474.514	435.735
0.000295305	9.93499e-05	773.201	863.161	813.669
0.000316684	2.56586e-05	333.797	567.042	591.856
0.010846	0.00032501	428.147	957.893	904.143
1.0426e-05	6.3241e-06	166.234	821.068	838.508
1.19955e-05	1.15352e-05	268.61	921.078	842.672
0.000415674	0.000139024	831.154	923.625	900.353
