Omega	Omega_uncer	mH1	mH2	mHc
0.000270726	0.000115649	780.325	889.113	829.995
0.00100972	0.000126448	401.312	474.209	440.844
0.0253102	0.00277427	963.612	972.859	985.023
0.0150823	0.00102413	778.241	982.794	965.666
1.14237e-05	1.22165e-05	232.976	734.281	637.419
0.000489747	7.33511e-05	625.273	828.18	868.601
0.00397008	0.00029246	545.592	721.157	694.312
0.00119986	0.000159907	663.886	664.276	736.503
0.00152923	0.000213229	401.172	437.136	509.273
0.00139789	0.000283009	664.038	718.811	681.36
0.000567094	4.82348e-05	297.166	384.026	441.84
0.000477281	5.48895e-05	445.515	574.956	611.547
0.000255125	1.75817e-05	350.49	722.485	480.791
0.000230567	0.000125499	779.159	826.91	821.693
0.000245831	6.71841e-05	467.133	564.468	498.785
0.00416695	0.000464093	145.324	220.639	157.469
0.00709282	0.000891583	736.453	925.091	862.474
0.00020771	1.31146e-05	306.811	392.938	388.614
0.00109904	0.000125876	378.145	442.171	452.807
0.00140533	0.000145693	478.035	479.906	532.011
0.000688649	0.000107343	732.821	895.271	876.058
0.000610554	9.23769e-05	570.007	572.949	697.596
0.000458751	7.11296e-05	685.16	841.941	890.279
0.00177761	0.000212278	776.959	867.858	937.867
0.00659739	0.000250385	885.553	913.314	926.08
1.51232e-05	2.50532e-06	125.685	512.998	393.504
0.00243663	0.000383718	170.024	198.055	229.62
9.38427e-05	1.99172e-05	549.299	587.899	664.04
0.0042465	0.00032716	700.531	700.64	755.799
0.0191155	0.000697137	656.136	917.434	910.165
0.017234	0.00173319	838.279	973.205	970.423
0.000383455	6.1834e-05	562.928	708.121	709.195
0.0120222	0.00132844	531.134	562.307	536.322
0.000840123	0.000228327	610.648	611.589	687.198
0.00019385	3.50131e-05	551.084	680.734	770.274
0.00137753	0.000468249	850.623	905.131	901.677
0.000360051	0.000163334	650.132	682.023	688.913
0.027136	0.000756461	881.487	940.81	912.779
0.000220951	8.48397e-05	650.939	712.364	683.343
0.000337649	3.04946e-05	343.592	457.156	422.228
0.0001687	1.41754e-05	339.579	609.726	417.087
0.000250338	4.40521e-05	527.607	624.331	644.881
0.000331111	0.000134147	834.487	945.491	878.786
0.000761644	6.80318e-05	411.127	511.678	571.039
6.29593e-05	3.55537e-05	471.647	954.445	861.466
0.00211428	5.85911e-05	104.933	629.947	435.174
0.000236638	2.26417e-05	269.866	687.26	549.253
0.0126534	0.00037009	392.795	854.321	952.747
0.000258687	8.16752e-05	585.647	615.892	642.149
0.00314511	0.000184608	347.054	715.335	642.072
0.00030939	6.01367e-05	621.112	769.206	716.275
0.00131029	0.000195243	460.269	485.497	502.334
0.000413439	3.1208e-05	326.656	559.51	396.559
0.00296212	0.000419669	723.264	763.065	778.485
0.0002895	5.25688e-05	645.157	905.219	819.863
0.000914923	0.000144333	550.278	676.674	715.501
0.000726731	0.000135571	616.966	730.046	692.897
0.00123498	0.000220746	488.306	519.187	547.206
0.000267414	1.79841e-05	133.905	577.274	426.73
0.000327204	4.55314e-05	422.566	503.608	497.102
0.00976086	0.000639815	587.038	742.381	719.889
0.00596842	0.000190014	249.581	737.62	742.199
7.99786e-05	1.4578e-05	455.491	532.184	592.43
0.000161375	5.12775e-05	600.279	707.901	660.955
0.00158195	0.000185126	449.817	457.247	503.717
0.000508397	4.16574e-05	392.079	522.935	528.061
0.000300931	4.44194e-05	562.47	816.601	721.884
0.000771923	0.000106214	398.724	484.233	547.458
0.00218358	0.00032685	874.724	965.719	905.774
2.66014e-05	1.7387e-05	156.323	753.045	706.521
0.00236553	0.000582505	189.404	198.552	239.307
0.000452086	8.49804e-05	668.556	868.027	769.17
0.00976098	0.000485609	584.839	728.375	688.591
0.000451635	2.39396e-05	369.123	783.427	704.659
0.000132745	2.72577e-05	566.347	717.808	850.912
0.000132131	6.21429e-06	201.799	726.787	647.992
0.011982	0.00124273	772.791	782.974	802.418
3.18731e-05	1.90756e-05	185.68	482.484	508.506
0.000392174	8.00923e-05	665.168	753.843	801.462
9.67133e-05	1.28608e-05	342.034	570.075	496.945
0.0018118	0.000215165	501.728	554.214	551.452
0.000322996	8.1252e-05	804.894	926.815	905.662
0.000145786	4.87234e-05	669.466	805.249	767.408
0.000283271	8.5753e-05	624.525	636.924	671.505
0.000125026	2.15465e-05	626.987	890.373	822.444
0.000257764	2.29334e-05	408.197	922.019	826.68
0.000175332	1.87628e-05	467.055	735.33	602.766
0.000179827	2.25033e-05	479.946	661.603	592.239
0.00189933	0.000139059	487.511	831.08	799.673
0.0012888	0.000170667	390.372	409.35	489.549
2.03552e-05	1.55084e-05	245.02	852.339	891.209
0.00059477	0.000132427	817.033	911.248	982.477
0.000331951	0.000112331	887.489	911.095	985.28
0.00190649	0.000250579	524.904	659.469	616.887
0.000358109	1.69318e-05	340.328	783.237	788.773
0.000976831	0.000188171	881.996	971.948	998.778
0.000672256	0.000245539	717.402	739.341	754.273
0.00232659	0.000459095	417.002	422.368	466.654
0.00826503	0.000612648	786.123	923.801	865.75
0.000872084	0.000294355	876.605	897.811	908.827
0.000473239	3.59846e-05	375.889	683.327	645.203
0.000251207	4.18987e-05	573.774	835.888	864.176
0.000240254	0.000126279	593.405	636.939	679.169
0.00163181	0.000387	868.395	889.649	932.052
0.00117941	9.84771e-05	490.754	762.812	785.612
0.00178985	0.000487994	891.379	910.203	924.517
0.000356462	0.000169182	891.747	989.111	946.176
0.000266441	6.7481e-05	588.088	735.785	641.614
0.000178907	1.8257e-05	460.342	867.495	810.23
0.000324924	2.13381e-05	250.994	381.318	335.302
0.000175439	4.32244e-05	589.439	649.078	707.377
0.000111403	1.51535e-05	414.564	561.345	501.46
0.000836614	0.000149974	656.327	867.255	887.453
0.000529109	2.42189e-05	245.193	576.534	561.361
0.00031236	1.97426e-05	215.512	350.075	294.937
0.0220788	0.00161736	722.963	744.761	723.177
0.0023823	0.000468565	791.459	835.991	819.498
0.0128836	0.0102709	363.228	372.871	373.834
2.39283e-05	2.4266e-05	213.542	822.114	742.172
