Omega	Omega_uncer	MA1	MS1	alpha	svev
0.393651	0.0100524	894.404	262.062	-0.343884	596.382
0.0904719	0.0031902	778.368	708.342	0.0952984	929.576
0.180975	0.0048151	116.45	509.099	1.51655	437.271
0.00318989	0.000187652	655.201	561.363	0.65972	597.629
0.00746133	0.00139674	884.85	464.784	0.101514	286.318
0.0259047	0.000929769	804.02	352.373	0.50979	424.024
0.000362962	3.74541e-05	620.908	699.773	0.83701	388.216
2.91764	0.0643182	560.448	135.058	-1.2205	499.033
0.626436	0.0132405	347.121	438.391	0.0169343	502.538
1.35225e-06	8.15591e-08	196.733	475.189	-1.13276	36.6891
0.000102297	2.26934e-05	934.288	697.452	-0.826649	123.043
0.0709952	0.00180581	308.815	259.222	0.486907	946.918
0.000283595	3.35632e-05	674.006	599.673	-0.89478	188.113
2.18575	0.0764085	902.045	288.552	0.0978281	877.577
0.00128083	0.000126593	938.325	766.49	0.254654	298.271
1.87429	0.0476639	851.548	225.14	0.170247	692.868
0.00100354	9.77755e-05	613.53	135.776	-0.877311	60.5221
0.0015184	0.000114614	560.965	484.106	0.90849	360.815
4.47741e-05	2.48952e-06	231.558	925.624	0.157963	27.0249
0.00474304	0.00019226	234.846	403.312	-0.0336056	206.063
0.12811	5.0293e-05	52.9847	573.746	1.25263	704.781
0.0103262	0.000398907	812.298	704.689	1.41382	430.434
0.0928778	0.00181555	521.179	251.287	1.04937	531.561
0.00384113	0.000169244	426.427	453.018	-0.269734	388.828
0.0014285	8.08946e-05	538.794	945.554	-1.43132	635.249
0.000456801	3.32149e-05	479.66	823.666	-1.22257	833.745
0.00114521	8.9676e-05	799.291	829.754	0.562757	661.463
0.000596733	2.27412e-05	283.066	835.628	-1.45164	169.266
0.0209783	0.000633105	459.373	379.866	-0.746825	936.717
0.000317194	1.25854e-05	134.555	719.064	-0.622486	213.099
0.000306651	0.000104592	920.351	521.688	0.36908	136.745
8.05268e-07	6.45431e-06	924.705	649.856	-0.360314	32.5911
0.115531	0.0105217	645.41	286.955	0.0471212	430.276
0.000125596	8.97484e-06	160.622	308.27	-1.13422	626.217
0.0477351	0.00111676	188.024	937.878	1.43086	818.279
0.00620004	0.000264737	823.506	887.038	-0.275449	993.394
0.000211092	8.84342e-06	316.904	848.221	-0.583362	674.926
0.00178901	0.000102948	617.284	726.843	-0.343974	616.551
6.55682e-07	8.90263e-08	298.531	85.6527	0.305904	8.9834
0.038211	0.00103715	685.509	421.148	-0.791555	982.698
0.0454242	0.00149243	658.103	399.994	-0.415672	763.276
0.0258472	0.000740198	658.264	342.276	0.938026	507.147
0.00010812	4.70508e-06	330.154	722.686	1.03424	754.287
