Omega	mmH1	mmH2	mmH3	mmA0	mmHch	aDM	lam2	lam8	m22	vs	WH1	WH2
0.00016425	125.09	761.421	789.354	914.398	933.347	0.0613038	0.970674	4.30416	633.423	278.211	0.00518611	1.13244
0.00152575	125.09	538.746	855.429	760.867	765.643	-0.0253586	1.30439	12.1003	427.067	252.241	0.00520164	0.070805
4.98406e-05	125.09	582.582	304.36	542.016	560.526	0.184318	6.23344	4.90119	228.638	178.972	0.00503712	4.09785
0.000468349	125.09	434.922	882.933	707.407	714.876	-0.0674763	1.42642	9.00114	234.799	319.843	0.00518215	0.24729
0.000134362	125.09	544.845	725.39	347.727	728.914	-0.114605	2.75954	0.232509	380.922	173.006	0.00513955	1.59424
8.38216e-05	122.945	125.09	445.436	614.846	634.377	-1.24339	2.82595	9.5883	318.18	102.236	0.000707678	0.00447709
0.000153416	125.09	615.255	240.958	462.415	489.229	-0.165696	3.5619	-0.347703	386.939	728.951	0.00506901	5.15189
0.000358708	125.09	765.254	612.524	494.361	650.4	0.195359	5.31942	0.289084	465.341	513.801	0.00501669	11.1641
0.000228925	125.09	378.278	685.654	708.561	764.23	-0.126485	0.767098	9.90467	531.012	146.042	0.00512539	0.561553
0.000250123	125.09	516.428	571.659	650.112	656.059	0.123165	4.44532	4.90808	143.99	323.267	0.00512949	1.35762
0.000178323	125.09	558.776	912.445	896.328	983.143	-0.126646	0.597574	8.94379	511.134	280.875	0.00512519	2.04387
0.000140035	100.818	125.09	693.21	779.385	813.179	-1.381	3.3993	1.65675	536.368	332.312	0.000250976	0.00481578
0.000167342	125.09	718.698	747.283	649.86	775.775	0.00203057	5.11874	-0.193747	628.201	654.024	0.00520483	0.00107803
0.000161222	125.09	220.519	464.338	376.021	497.349	-0.0415336	2.69516	-1.47581	363.344	210.153	0.00519625	0.00400027
0.00213224	125.09	828.967	747.229	784.644	772.394	-0.0632637	2.76128	6.85494	311.104	358.132	0.0051849	1.62367
0.000121932	125.09	429.787	501.334	674.133	697.556	0.0810046	1.86486	10.1628	397.315	124.561	0.00517216	0.30316
0.00104232	125.09	127.763	838.562	930.899	923.003	-0.0423296	7.71627	3.45105	693.894	387.513	0.00519591	9.1354e-06
8.76479e-05	125.09	806.017	889.047	694.747	897.435	0.199759	0.477937	6.70344	434.891	249.168	0.00500823	12.9983
0.000135563	125.09	509.999	689.218	903.702	917.061	-0.106303	1.22987	0.0461149	682.899	969.663	0.00514864	1.03521
0.000672929	125.09	998.965	647.865	584.591	653.439	0.228432	1.32065	-0.13311	675.771	1348.95	0.00494879	33.7914
0.000229756	125.09	605.193	748.72	587.539	743.887	0.0299804	6.30645	0.401538	583.488	161.682	0.00520037	0.137093
0.00238542	125.09	917.429	967.203	913.437	917.763	-0.260267	0.845899	0.493545	522.254	1434	0.00487417	35.1173
0.000576835	125.09	745.298	756.278	717.45	805.168	-0.280515	4.26594	1.20004	483.051	662.079	0.00482212	22.57
0.000411008	125.09	126.744	885.052	937.24	967.75	-0.445936	4.30843	12.7213	500.337	274.984	0.00427595	0.000941335
0.000135067	84.3046	125.09	651.436	742.74	781.462	1.46074	2.33668	12.642	597.345	87.9058	0.000102807	0.00493327
0.00187951	125.09	501.218	706.745	777.704	725.283	-0.0397264	4.02205	11.2826	556.909	189.94	0.00519698	0.139583
0.00156386	125.09	199.512	900.237	810.159	828.755	-0.159065	6.68348	4.14306	553.048	400.435	0.00507957	0.0354057
0.000312674	125.09	710.829	630.451	474.351	630.819	0.0597466	4.13516	-0.12229	499.891	404.355	0.00518705	0.88525
0.000310701	125.09	717.023	584.745	469.371	584.614	-0.149008	4.82757	-3.49246	525.8	203.93	0.0050948	6.19505
0.000139292	125.09	126.968	706.22	560.047	727.473	0.40914	3.06124	3.8983	241.806	333.201	0.00441457	0.000802287
0.000134137	125.09	130.327	728.272	551.505	722.116	-0.16349	2.28867	1.76398	175.92	519.539	0.00507257	0.000137892
0.000381068	125.09	901.893	569.653	421.208	557.131	-0.0373358	3.6958	1.94249	334.558	282.488	0.0051979	1.89054
0.000116409	68.634	125.09	462.13	431.167	466.563	-1.43637	0.93069	20.1864	149.675	96.5928	8.19247e-05	0.00490382
2.885e-05	125.09	174.094	214.421	306	233.975	-0.0619423	6.07498	-5.02833	151.762	67.982	0.00518572	0.00183746
0.000728992	125.09	677.867	594.664	530.973	637.468	0.144119	6.56317	0.667645	498.878	354.506	0.00510185	4.28258
0.00331363	87.6853	125.09	911.004	988.079	912.78	1.46022	5.00561	2.42446	542.639	666.275	0.000112848	0.0049327
0.000649653	102.739	125.09	493.133	399.207	492.746	1.41062	4.6902	0.149997	262.904	1112.58	0.000218715	0.00486648
0.000534375	82.7205	125.09	810.2	911.573	888.097	1.37911	3.49124	14.0483	647.863	184.998	0.000177903	0.00481225
0.000116936	125.09	992.86	773.86	688.002	797.935	0.0992596	4.44758	-0.288521	686.028	934.483	0.00515582	6.52549
9.16474e-05	125.09	408.874	866.576	698.564	862.968	-0.0143758	0.169343	1.64379	322.38	591.016	0.00520382	0.00873335
0.000238983	125.09	632.773	218.937	550.629	554.644	0.0943975	4.28089	2.15904	133.521	213.422	0.00516049	4.04355
0.000539345	123.41	125.09	618.082	451.711	454.512	-0.286973	7.06336	4.09681	401.848	89.2279	0.0047336	0.000400067
