Omega	Omega_err	MA1	MS1	svev	alpha
0.00126145	8.40877e-05	646.398	863.268	543.614	1.31249
0.0654703	0.00311192	453.789	526.58	281.618	0.0271202
0.000367446	2.14275e-05	366.488	550.105	586.942	0.636483
0.000211173	3.48739e-05	733.895	546.773	83.7303	-1.22237
0.000552669	2.84835e-05	307.875	490.554	790.915	-0.695051
0.000168455	3.76276e-05	924.634	623.302	142.101	0.748134
0.00131868	7.11752e-05	429.782	791.83	389.171	1.49499
5.56536e-05	2.82436e-06	357.378	893.582	394.762	0.488805
1.10238	0.0129392	806.849	818.842	573.797	-1.55762
1.21438	0.0587635	395.422	139.42	513.315	-0.660996
48.6724	0.540073	639.525	117.509	992.205	0.739706
0.0117319	0.000404682	614.282	623.363	846.517	-0.267313
0.0133126	0.00034847	163.917	801.421	693.976	1.29908
3.98699	0.0717886	474.722	86.186	651.996	-1.2617
0.00032731	5.29366e-05	828.016	471.575	75.1864	1.23745
0.717144	0.0212618	415.157	160.57	549.935	-0.923649
0.000366148	5.25252e-05	929.412	700.715	210.978	-0.795849
0.00929223	0.000519732	790.135	525.622	536.736	-0.436912
4.56017e-05	1.03068e-05	593.132	898.471	97.2859	-0.0709984
0.00462128	0.000192197	571.834	577.384	892.42	-0.846785
3.2437e-06	5.80327e-07	428.804	766.054	144.825	0.648393
0.00437606	0.000208253	802.24	841.136	804.975	1.23404
0.0108553	0.0003505	362.711	352.567	786.914	0.629213
3.77597	0.0544137	463.137	154.82	906.372	0.795409
0.105889	0.00438187	805.535	532.519	999.86	-0.200545
0.0161003	0.000396004	108.141	854.126	797.294	0.508485
0.11507	0.0025804	802.597	78.4116	140.117	0.528042
27.7022	0.16844	605.795	88.2588	898.642	-0.263784
0.000583438	5.69487e-05	804.313	884.484	123.302	-1.45002
0.00523652	0.000256185	775.62	696.157	931.32	0.546474
0.00239736	6.3437e-05	98.7234	302.46	374.859	-1.08793
0.000296636	3.30178e-06	407.28	866.073	906.981	0.0413991
0.000359339	2.59518e-05	448.592	721.79	949.393	-0.82793
152.177	1.07674	625.917	83.8165	898.419	0.0235046
2.7541	1.19274	112.228	116.693	176.387	-0.075
0.357727	0.00917873	154.952	63.1277	892.269	0.586512
0.0678971	0.00163258	897.612	640.749	725.411	1.42861
0.739865	0.012332	386.905	52.6284	629.059	0.779226
0.00106303	2.97107e-05	305.089	777.762	901.835	-0.224698
0.00119546	8.45776e-05	693.836	851.897	941.712	0.566775
0.00177393	0.000103795	623.687	783.67	916.955	-1.07363
0.00142747	9.8244e-05	817.487	807.168	666.069	-0.699515
0.0268746	0.000819876	873.861	631.063	753.711	1.32546
0.625403	0.00861343	644.191	350.361	608.989	-1.47022
0.0398165	0.00121658	941.11	603.898	986.768	0.320452
0.030713	0.0017166	606.526	276.597	350.688	-0.425808
0.0359115	0.000719849	104.36	711.133	793.145	1.26227
0.00439751	0.000230084	613.029	499.168	582.622	0.866366
0.000180632	1.2179e-05	332.839	589.785	934.092	-0.744499
0.0225456	0.000724109	446.953	314.438	540.816	-1.04606
3.08996e-05	1.8453e-05	895.502	677.779	89.845	-0.450942
0.0751694	0.000433274	78.1398	387.707	389.087	0.313087
0.046056	0.00126502	941.605	546.53	202.46	-1.5036
0.231198	0.00745925	773.127	210.909	386.464	0.34254
7.1169	0.0933302	872.041	133.729	511.317	1.14315
0.0358424	0.00208598	582.897	566.306	640.007	0.122419
0.00187253	8.17894e-05	206.091	358.108	802.184	1.27666
0.000550546	8.83058e-05	622.546	196.102	74.3284	0.359693
0.354201	0.0102062	823.881	373.487	970.983	0.237531
0.00416045	0.00022562	711.194	389.236	176.092	1.22878
0.205897	0.00395641	885.766	318.535	912.61	0.707902
2.28894e-05	3.59733e-06	479.443	810.675	335.032	0.729174
0.393651	0.0100524	894.404	262.062	596.382	-0.343884
0.0904719	0.0031902	778.368	708.342	929.576	0.0952984
0.180975	0.0048151	116.45	509.099	437.271	1.51655
0.00318989	0.000187652	655.201	561.363	597.629	0.65972
0.00746133	0.00139674	884.85	464.784	286.318	0.101514
0.0259047	0.000929769	804.02	352.373	424.024	0.50979
0.000362962	3.74541e-05	620.908	699.773	388.216	0.83701
2.91764	0.0643182	560.448	135.058	499.033	-1.2205
0.626436	0.0132405	347.121	438.391	502.538	0.0169343
1.35225e-06	8.15591e-08	196.733	475.189	36.6891	-1.13276
0.000102297	2.26934e-05	934.288	697.452	123.043	-0.826649
0.0709952	0.00180581	308.815	259.222	946.918	0.486907
0.000283595	3.35632e-05	674.006	599.673	188.113	-0.89478
2.18575	0.0764085	902.045	288.552	877.577	0.0978281
0.00128083	0.000126593	938.325	766.49	298.271	0.254654
1.87429	0.0476639	851.548	225.14	692.868	0.170247
0.00100354	9.77755e-05	613.53	135.776	60.5221	-0.877311
0.0015184	0.000114614	560.965	484.106	360.815	0.90849
4.47741e-05	2.48952e-06	231.558	925.624	27.0249	0.157963
0.00474304	0.00019226	234.846	403.312	206.063	-0.0336056
0.12811	5.0293e-05	52.9847	573.746	704.781	1.25263
0.0103262	0.000398907	812.298	704.689	430.434	1.41382
0.0928778	0.00181555	521.179	251.287	531.561	1.04937
0.00384113	0.000169244	426.427	453.018	388.828	-0.269734
0.0014285	8.08946e-05	538.794	945.554	635.249	-1.43132
0.000456801	3.32149e-05	479.66	823.666	833.745	-1.22257
0.00114521	8.9676e-05	799.291	829.754	661.463	0.562757
0.000596733	2.27412e-05	283.066	835.628	169.266	-1.45164
0.0209783	0.000633105	459.373	379.866	936.717	-0.746825
0.000317194	1.25854e-05	134.555	719.064	213.099	-0.622486
0.000306651	0.000104592	920.351	521.688	136.745	0.36908
8.05268e-07	6.45431e-06	924.705	649.856	32.5911	-0.360314
0.115531	0.0105217	645.41	286.955	430.276	0.0471212
0.000125596	8.97484e-06	160.622	308.27	626.217	-1.13422
0.0477351	0.00111676	188.024	937.878	818.279	1.43086
0.00620004	0.000264737	823.506	887.038	993.394	-0.275449
0.000211092	8.84342e-06	316.904	848.221	674.926	-0.583362
0.00178901	0.000102948	617.284	726.843	616.551	-0.343974
6.55682e-07	8.90263e-08	298.531	85.6527	8.9834	0.305904
0.038211	0.00103715	685.509	421.148	982.698	-0.791555
0.0454242	0.00149243	658.103	399.994	763.276	-0.415672
0.0258472	0.000740198	658.264	342.276	507.147	0.938026
0.00010812	4.70508e-06	330.154	722.686	754.287	1.03424
7.64356e-05	1.50799e-05	659.723	874.517	242.289	-1.03442
5.07374	0.0771848	772.738	141.089	485.558	1.48921
0.0242644	0.00232742	817.932	385.278	365.175	-0.209362
5.94651e-05	8.51834e-06	420.931	62.07	31.6996	-1.16427
0.275985	0.00930082	433.218	176.434	378.066	-1.19925
0.000160649	1.77031e-05	526.428	943.347	486.468	-1.25203
7.45236e-05	5.64174e-06	335.623	638.682	900.15	-0.926102
4.9126e-06	1.65958e-06	411.368	298.356	35.3864	0.404136
0.0214923	0.000649329	222.873	305.975	799.574	-1.32264
0.000333407	4.17268e-05	397.063	425.804	53.9671	1.55548
0.00628245	0.000329502	761.082	463.291	429.053	-0.820321
9.73146e-05	1.03623e-05	475.361	721.157	368.918	-0.935453
0.00111742	9.72561e-05	847.591	775.81	321.182	1.25167
0.0062318	0.000273458	769.157	859.943	999.887	-0.265226
0.0027064	0.000134477	548.625	639.688	621.167	-1.20505
0.154725	0.00315936	888.044	539.993	745.318	1.43115
0.000232869	3.82498e-05	795.967	128.802	35.5032	-1.18362
6.22506e-05	8.62162e-06	504.606	542.161	119.246	-0.896992
0.00503169	6.3281e-06	55.4518	789.484	453.909	-0.643372
0.00833391	0.000325933	560.641	786.152	497.947	-0.0669773
0.0214564	0.00314055	611.962	389.289	377.723	-0.1458
0.00196888	8.99431e-05	299.232	490.959	869.297	-0.240438
0.000791836	3.58603e-05	180.647	306.456	540.349	1.03972
0.00968352	0.000346255	796.449	788.935	786.714	-1.33102
0.00490135	0.000393619	867.737	336.136	200.365	0.497125
0.338745	0.00969304	828.297	343.473	872.846	-0.271076
0.0255879	0.000790077	182.957	235.73	709.213	1.165
0.0745635	0.000844966	71.8819	703.952	350.164	0.675782
0.0112406	0.00116675	143.241	84.078	169.53	0.467205
8.14948e-06	2.59648e-06	525.037	600.864	73.11	-0.375338
5.37916e-05	1.60465e-05	857.32	948.182	212.268	0.54344
0.000763805	6.85366e-05	787.117	903.983	749.556	0.711285
0.00402851	0.000161225	290.12	281.631	385.264	0.715072
3.09191e-05	6.8918e-06	575.103	815.226	142.187	-1.15744
2.60793e-06	2.29172e-07	100.956	366.728	3.40468	0.726266
0.0111382	0.000284141	120.68	603.486	446.84	-1.31655
0.00114109	8.06553e-05	637.564	771.646	729.917	-0.998602
7.87673e-05	7.41015e-06	422.509	746.727	563.099	-1.00321
0.0086243	0.000357103	744.909	592.66	853.796	-0.594009
3.3794e-06	2.92866e-06	546.643	429.781	38.2928	0.286322
0.00264428	0.000181942	661.412	464.074	319.435	1.00099
0.000446211	1.76111e-05	329.299	907.346	950.25	-0.745202
0.00438305	0.000176072	324.075	446.233	993.979	-0.417989
1.93034e-05	2.57734e-07	99.7183	209.774	448.432	-0.367375
2.79909	0.037437	931.42	165.072	565.631	0.653738
0.0117658	0.000450246	861.798	718.168	888.87	-0.335351
9.84619e-06	1.15552e-06	360.828	717.355	704.471	0.547011
0.000395862	1.29393e-05	197.136	575.61	265.993	1.24781
0.0226432	0.000435438	89.6842	649.414	716.1	1.07704
0.00703802	0.000428982	606.761	139.639	106.52	-0.457334
1.83565	0.0213724	535.871	202.331	721.655	1.32937
2.87397e-05	1.31898e-06	362.105	834.266	306.905	0.298764
0.112263	0.00323241	949.338	222.755	303.888	-0.546203
0.0941005	0.00211561	890.922	431.211	719.673	1.2606
0.00095591	3.0936e-05	198.566	806.576	575.807	-0.692024
1.16631e-06	2.64205e-07	432.186	853.455	177.735	-0.538599
0.00253144	0.000584031	552.869	299.314	172.219	-0.0981905
0.00155438	7.37209e-05	388.953	540.092	823.348	-1.01358
0.00122002	0.000101227	692.423	416.055	101.416	1.30838
0.00121646	3.84998e-05	300.321	783.286	512.06	-1.38046
0.0030378	4.93733e-06	56.0402	145.505	387.338	-0.699321
0.000304125	2.79283e-05	526.717	728.64	179.483	1.38566
0.00122289	7.75765e-05	585.215	407.933	221.57	0.611854
1.01533e-05	1.73902e-06	311.388	225.237	24.2945	-1.51005
0.0177088	0.000593941	474.551	330.126	488.592	1.09696
7.08442e-05	1.98541e-05	820.219	164.35	27.5134	1.09434
0.244795	0.0113027	530.405	298.743	765.045	0.218661
0.127505	0.00324093	132.029	65.2215	630.558	0.979918
1.72451e-05	1.62779e-06	160.727	291.181	90.2275	-1.26338
0.00111588	4.2921e-05	69.8206	283.743	39.8844	0.47977
0.00926976	0.000712346	641.676	383.713	348.127	0.366645
5.77407	0.0833886	558.95	161.71	636.406	1.40696
0.00264441	0.000125208	441.836	791.206	797.225	-1.45385
0.0101628	0.000434242	905.556	635.335	885.677	-0.656052
