Omega	Omega_err	mH1	mH2
0.00123329	6.60944e-06	488.306	519.187
0.000266912	1.06833e-06	133.905	577.274
0.000326723	8.67965e-07	422.566	503.608
0.00974409	4.97453e-05	587.038	742.381
0.00595688	2.75809e-05	249.581	737.62
7.9881e-05	2.11743e-07	455.491	532.184
0.000161216	1.49728e-07	600.279	707.901
0.00158009	3.1727e-06	449.817	457.247
0.000507512	1.80843e-06	392.079	522.935
0.00030053	1.00647e-06	562.47	816.601
0.000770748	2.83926e-06	398.724	484.233
0.00218095	5.02467e-06	874.724	965.719
2.65659e-05	6.37841e-08	156.323	753.045
0.002362	9.04043e-06	189.404	198.552
0.000451421	1.18665e-06	668.556	868.027
0.0097394	5.5179e-05	584.839	728.375
0.000450956	1.61304e-06	369.123	783.427
0.000132572	4.1807e-07	566.347	717.808
0.000131913	4.17991e-07	201.799	726.787
0.0119642	3.35265e-05	772.791	782.974
3.18303e-05	7.78071e-08	185.68	482.484
0.000391728	9.27259e-07	665.168	753.843
9.65973e-05	2.84636e-07	342.034	570.075
0.00180936	3.31882e-06	501.728	554.214
0.000322681	3.02739e-07	804.894	926.815
0.000145602	2.96478e-07	669.466	805.249
0.000283051	2.984e-07	624.525	636.924
0.000124827	3.91557e-07	626.987	890.373
0.000257397	8.68825e-07	408.197	922.019
0.000175072	5.69341e-07	467.055	735.33
0.000179549	5.69978e-07	479.946	661.603
0.00189611	8.11359e-06	487.511	831.08
0.00128705	3.30458e-06	390.372	409.35
2.03307e-05	4.68117e-08	245.02	852.339
0.000593868	1.44225e-06	817.033	911.248
0.000331612	4.34644e-07	887.489	911.095
0.00190302	7.49358e-06	524.904	659.469
0.000357573	1.31267e-06	340.328	783.237
0.000975206	9.55749e-06	881.996	971.948
0.000671774	6.74403e-07	717.402	739.341
0.00232397	8.50286e-06	417.002	422.368
0.00825321	1.64808e-05	786.123	923.801
0.000871505	1.2039e-06	876.605	897.811
0.000472478	1.71885e-06	375.889	683.327
0.000250839	8.56845e-07	573.774	835.888
0.000239997	1.95353e-07	593.405	636.939
0.00163054	2.19338e-06	868.395	889.649
0.0011778	4.63243e-06	490.754	762.812
0.00178857	2.11101e-06	891.379	910.203
0.000356236	1.46588e-07	891.747	989.111
0.000266178	3.14403e-07	588.088	735.785
0.000178696	5.72988e-07	460.342	867.495
0.000324415	1.08752e-06	250.994	381.318
0.000175204	3.0987e-07	589.439	649.078
0.00011127	3.20442e-07	414.564	561.345
0.000835308	3.14312e-06	656.327	867.255
0.000528288	1.87466e-06	245.193	576.534
0.000311901	1.05743e-06	215.512	350.075
0.0218533	9.65703e-05	722.963	744.761
0.00238001	3.00848e-06	791.459	835.991
0.0128263	2.65917e-05	363.228	372.871
2.39006e-05	5.45024e-08	213.542	822.114
0.000625769	3.13705e-06	706.289	728.17
0.000115688	2.11873e-07	524.606	546.615
0.000249288	7.86173e-07	688.567	862.956
0.000659318	1.94587e-06	572.773	609.486
0.0143213	7.2275e-05	797.662	798.623
0.000275614	7.58918e-07	463.229	534.633
0.00949012	2.72509e-05	940.098	945.66
0.000509021	8.17007e-07	617.546	646.228
0.00046062	3.01113e-06	791.422	824.985
0.000237457	4.62173e-07	548.135	558.101
0.00126311	3.34897e-06	756.088	757.322
0.000274518	9.66665e-07	761.922	835.387
0.00182141	4.47158e-06	847.885	849.869
0.000950208	3.74101e-06	379.662	549.454
4.60097e-05	1.22988e-07	641.253	855.433
0.000928347	3.3939e-06	725.992	927.196
0.000163599	5.11321e-07	491.773	619.232
0.000205303	1.72223e-06	569.831	623.967
0.000142187	4.49362e-07	460.426	563.812
0.000498905	1.51e-06	679.166	890.488
0.000837213	6.77812e-06	859.338	947.536
0.0451802	0.000188143	224.503	255.454
0.000120519	3.75886e-07	428.206	746.863
0.000893736	3.34945e-06	608.128	808.852
0.000588445	1.89922e-06	259.233	314.935
0.000203657	6.56911e-07	446.425	663.333
0.000477048	6.5904e-07	602.774	618.538
0.000327411	1.16221e-06	203.402	379.492
0.000397908	1.32e-06	755.658	999.378
0.000145291	4.1987e-07	246.917	294.354
0.000522137	9.30459e-07	658.076	661.046
0.000838687	2.42678e-06	768.557	989.829
0.000305619	6.22097e-07	407.452	550.046
0.0059472	8.48156e-05	655.289	681.522
0.00531435	8.36492e-06	869.227	979.55
0.000549263	1.96545e-06	428.652	669.913
0.00408891	1.82061e-05	694.658	711.624
0.000243106	8.20311e-07	615.131	840.623
0.000525624	4.7461e-06	473.942	564.685
8.55236e-06	2.11012e-08	132.848	654.77
0.000488259	7.49027e-07	695.487	712.785
0.000247667	8.31e-07	546.743	715.669
0.000280877	1.80163e-06	720.657	805.416
0.00209556	8.77196e-06	358.033	580.182
0.000475607	7.75573e-07	562.962	583.851
0.000190444	3.72394e-07	470.61	488.776
0.00801382	3.94312e-05	671.479	675.092
0.000129335	3.98604e-07	421.049	603.522
0.00086783	3.65137e-06	194.272	705.458
0.00985396	5.34803e-05	572.115	583.692
0.000305946	1.01946e-06	305.882	590.595
0.000462455	1.96985e-06	698.368	755.801
0.000394163	7.93614e-07	485.69	657.522
0.00130589	4.71347e-06	743.765	973.224
0.000165918	4.28069e-07	451.514	585.275
0.000152433	5.06266e-07	187.105	321.38
0.000107867	1.91271e-07	625.172	709.128
0.000488642	2.9591e-06	899.473	916.99
0.000812225	7.5624e-07	508.636	542.74
0.000102859	3.26105e-07	342.441	588.174
0.000462898	1.45923e-06	633.932	816.378
0.00377905	8.98801e-06	836.14	893.777
0.00679824	6.57127e-06	715.788	787.123
0.000798232	3.0663e-06	368.488	655.049
7.7053e-05	1.96953e-07	731.286	873.209
0.00230845	8.71156e-06	766.167	768.654
0.000605087	2.28528e-06	279.482	644.823
0.000116395	3.61825e-07	430.581	737.417
0.0108968	2.14691e-05	679.82	709.666
0.000104333	2.16179e-07	540.942	626.451
0.000238627	8.27951e-07	188.551	455.889
0.000182783	2.72461e-07	713.414	874.01
0.0010894	1.52866e-06	663.193	663.545
0.000931547	1.40923e-06	636.754	644.806
0.000233437	7.38208e-07	674.018	909.198
0.000400055	1.38121e-06	691.573	887.95
0.00140207	2.47976e-06	597.466	694.607
0.00221084	4.59585e-06	872.64	910.002
0.000527537	4.89518e-07	705.325	784.693
0.000356266	8.62325e-07	341.737	616.173
9.0479e-05	2.81266e-07	185.461	443.04
