Omega	mmH3
6.00871e-06	153.224
1.42489e-05	863.997
2.44982e-06	84.2649
6.99375e-05	382.862
1.63606e-05	773.814
5.28059e-05	517.871
4.88898e-05	614.047
3.88853e-05	397.989
0.000819948	99.0152
5.48835e-05	318.968
2.90965e-05	598.154
8.98807e-05	504.473
2.74222e-05	480.04
1.98405e-05	658.926
6.73331e-05	224.748
5.50664e-05	719.635
1.82454e-05	916.864
5.03854e-05	558.844
3.06403e-05	589.887
2.06489e-05	701.036
2.16267e-05	812.723
2.65153e-06	164.984
4.01524e-05	593.234
9.25955e-05	741.456
1.87455e-05	607.735
1.86078e-05	756.549
5.54476e-05	683.217
3.62245e-05	473.748
1.62948e-05	885.546
4.33149e-05	393.312
9.3653e-05	389.153
3.81458e-05	616.251
4.27058e-05	377.669
6.88074e-05	450.199
4.31572e-06	183.917
0.000496263	104.259
6.99232e-05	333.301
4.05909e-05	541.697
0.000114662	206.401
2.12549e-05	742.84
0.00025562	158.779
7.70006e-05	383.802
0.00013694	289.452
1.25866e-05	789.803
6.19164e-05	298.334
2.97131e-05	709.272
3.21726e-05	405.706
0.000134407	298.467
0.00014885	347.334
1.75356e-05	895.463
0.000103489	298.284
0.000199566	213.104
0.0220276	97.7289
2.81749e-05	565.019
7.08902e-05	282.444
2.43726e-05	499.875
1.5602e-05	926.712
3.65388e-05	390.708
1.83802e-05	816.392
2.41627e-05	531.01
0.000106562	104.495
0.00173276	75.0741
7.51925e-05	285.514
0.000109499	306.558
6.09119e-05	111.463
3.08259e-05	466.99
0.000600629	129.849
3.01092e-05	512.597
3.41447e-05	201.297
0.000150929	79.9119
5.16567e-05	538.475
0.000168158	166.062
2.98975e-05	507.389
2.01063e-05	927.884
2.40189e-05	636.177
0.00228695	96.982
0.000514564	243.502
5.09991e-05	449.3
9.45909e-05	276.766
4.55161e-05	587.801
2.11346e-05	798.034
7.00792e-05	331.264
0.000109675	207.64
1.27334e-05	850.891
8.04325e-05	458.494
0.000108633	231.037
1.68299e-05	758.125
6.32934e-05	511.894
0.000134319	378.968
2.44939e-05	624.63
1.37404e-05	926.273
0.00012661	268.387
2.95242e-05	761.673
7.2838e-05	341.673
2.73493e-05	860.564
4.12524e-05	370.6
2.09124e-05	701.655
1.13226e-05	899.231
0.000107737	274.807
1.4825e-05	787.744
1.5158e-05	122.272
3.33612e-05	429.749
1.85044e-05	707.748
1.23576e-06	145.914
3.33333e-05	858.99
1.97702e-05	681.722
4.66817e-05	653.822
5.77557e-05	494.063
3.97834e-05	783.653
1.67516e-05	907.191
1.41147e-05	804.049
3.63511e-05	878.005
1.18049e-05	849.125
0.000440829	94.8172
7.7652e-05	125.023
1.93392e-05	604.15
1.88696e-06	168.531
2.61268e-05	712.469
1.47454e-05	783.289
4.82094e-05	641.473
3.19248e-05	498.236
2.67748e-05	688.118
3.30711e-05	753.325
1.85479e-05	661.149
0.000149671	317.606
0.000153749	173.42
1.33599e-05	908.907
5.27786e-05	879.61
3.52926e-05	616.452
2.97267e-05	726.575
1.98636e-05	696.094
2.32119e-05	730.196
1.16316e-05	879.916
0.000167391	292.805
1.63719e-05	896.43
2.5556e-05	666.125
2.38345e-05	780.4
0.000924796	98.066
1.03929e-06	185.443
2.85164e-05	534.385
1.14153e-05	920.609
1.36896e-05	763.15
1.25374e-05	790.917
6.83794e-05	340.653
3.95489e-05	485.042
9.28135e-05	360.932
1.99369e-05	560.273
7.3193e-05	342.973
5.16456e-05	305.848
