Omega	mH1	mH2	mHc
0.000309659	215.512	350.075	294.937
0.0218778	722.963	744.761	723.177
0.00237039	791.459	835.991	819.498
0.0128224	363.228	372.871	373.834
2.37412e-05	213.542	822.114	742.172
0.000623587	706.289	728.17	757.63
0.00011504	524.606	546.615	686.525
0.000247508	688.567	862.956	862.282
0.000655521	572.773	609.486	634.922
0.0142088	797.662	798.623	835.392
0.00027368	463.229	534.633	563.964
0.00943191	940.098	945.66	981.092
0.000506152	617.546	646.228	716.355
0.000459125	791.422	824.985	829.799
0.000236165	548.135	558.101	632.354
0.0012556	756.088	757.322	799.846
0.000272727	761.922	835.387	833.845
0.00180966	847.885	849.869	910.641
0.000943154	379.662	549.454	599.127
4.56958e-05	641.253	855.433	798.792
0.000921623	725.992	927.196	934.639
0.000162434	491.773	619.232	691.319
0.000204103	569.831	623.967	632.279
0.00014121	460.426	563.812	657.809
0.000495307	679.166	890.488	806.428
0.000833646	859.338	947.536	911.775
0.044711	224.503	255.454	268.142
0.000119672	428.206	746.863	635.072
0.000887067	608.128	808.852	782.296
0.000584322	259.233	314.935	320.017
0.000202198	446.425	663.333	624.116
0.000474617	602.774	618.538	668.004
0.000325076	203.402	379.492	369.581
0.00039512	755.658	999.378	982.377
0.000144228	246.917	294.354	410.081
0.000518818	658.076	661.046	732.366
0.0008325	768.557	989.829	895.914
0.000303524	407.452	550.046	460.944
0.00587214	655.289	681.522	759.601
0.0052779	869.227	979.55	958.561
0.000545234	428.652	669.913	556.17
0.00405856	694.658	711.624	700.701
0.000241429	615.131	840.623	848.064
0.000522941	473.942	564.685	512.279
8.49367e-06	132.848	654.77	693.105
0.000485642	695.487	712.785	784.365
0.00024589	546.743	715.669	768.334
0.000279748	720.657	805.416	755.002
0.0020804	358.033	580.182	671.922
0.000472975	562.962	583.851	648.941
0.000189376	470.61	488.776	631.544
0.00795176	671.479	675.092	681.692
0.000128414	421.049	603.522	680.375
0.0008612	194.272	705.458	707.957
0.00975327	572.115	583.692	621.674
0.000303701	305.882	590.595	560.587
0.000460097	698.368	755.801	752.269
0.000391847	485.69	657.522	519.207
0.0012961	743.765	973.224	968.559
0.000164772	451.514	585.275	526.957
0.000151355	187.105	321.38	366.102
0.000107132	625.172	709.128	722.123
0.000486724	899.473	916.99	978.406
0.000807128	508.636	542.74	580.915
0.000102165	342.441	588.174	618.441
0.000459515	633.932	816.378	764.569
0.00376006	836.14	893.777	878.873
0.00674983	715.788	787.123	809.197
0.000792362	368.488	655.049	635.662
7.65152e-05	731.286	873.209	909.097
