Omega	mMChi	mMPsi	lam12	lam13	lam123
0.120521	100	120	0.0121938	2.5303	1.0429
0.120803	100	120	0.0121938	2.27727	1.07387
0.120547	100	120	0.0121938	2.04954	1.09836
0.120969	100	120	0.0121938	1.84459	1.11097
0.12086	100	120	0.0121938	1.66013	1.12274
0.120653	100	120	0.0121938	1.49412	1.132
0.120472	100	120	0.0121938	1.34471	1.13888
0.120345	100	120	0.0121938	1.21023	1.14403
0.120246	100	120	0.0121938	1.08921	1.14775
0.120174	100	120	0.0121938	0.98029	1.15042
0.120127	100	120	0.0121938	0.882261	1.15239
0.120094	100	120	0.0121938	0.794035	1.15386
0.12007	100	120	0.0121938	0.714632	1.15498
0.120053	100	120	0.0121938	0.643168	1.15584
0.12004	100	120	0.0121938	0.578852	1.1565
0.12003	100	120	0.0121938	0.520966	1.15701
0.120024	100	120	0.0121938	0.46887	1.15741
0.120017	100	120	0.0121938	0.421983	1.15772
0.120014	100	120	0.0121938	0.379785	1.15798
0.120012	100	120	0.0121938	0.341806	1.15821
0.120007	100	120	0.0121938	0.307625	1.15836
0.120004	100	120	0.0121938	0.276863	1.15846
0.120003	100	120	0.0121938	0.249177	1.15854
0.120001	100	120	0.0121938	0.224259	1.1586
0.12	100	120	0.0121938	0.201833	1.15864
0.12	100	120	0.0121938	0.18165	1.15867
0.119142	100	120	0.0109744	3.89271	0.650236
0.120825	100	120	0.0109744	3.50344	0.826818
0.120787	100	120	0.0109744	3.15309	0.941753
0.12058	100	120	0.0109744	2.83778	1.01572
0.120749	100	120	0.0109744	2.554	1.0618
0.120693	100	120	0.0109744	2.2986	1.09087
0.120497	100	120	0.0109744	2.06874	1.11524
0.120926	100	120	0.0109744	1.86187	1.12806
0.120817	100	120	0.0109744	1.67568	1.13999
0.120614	100	120	0.0109744	1.50811	1.14932
0.120441	100	120	0.0109744	1.3573	1.15621
0.120322	100	120	0.0109744	1.22157	1.16135
0.120229	100	120	0.0109744	1.09942	1.16507
0.120162	100	120	0.0109744	0.989474	1.16774
0.120118	100	120	0.0109744	0.890526	1.1697
0.120087	100	120	0.0109744	0.801474	1.17117
0.120065	100	120	0.0109744	0.721326	1.17229
0.120049	100	120	0.0109744	0.649194	1.17315
0.120037	100	120	0.0109744	0.584274	1.1738
0.120028	100	120	0.0109744	0.525847	1.17431
0.120022	100	120	0.0109744	0.473262	1.17472
0.120016	100	120	0.0109744	0.425936	1.17502
0.120015	100	120	0.0109744	0.383342	1.17528
0.12001	100	120	0.0109744	0.345008	1.17549
0.120007	100	120	0.0109744	0.310507	1.17565
0.120004	100	120	0.0109744	0.279457	1.17576
0.120002	100	120	0.0109744	0.251511	1.17584
0.120001	100	120	0.0109744	0.22636	1.1759
0.12	100	120	0.0109744	0.203724	1.17594
0.12	100	120	0.0109744	0.183351	1.17597
0.11918	100	120	0.00987695	3.92127	0.657302
0.120776	100	120	0.00987695	3.52914	0.837285
0.120733	100	120	0.00987695	3.17623	0.953515
0.120478	100	120	0.00987695	2.85861	1.02866
0.120553	100	120	0.00987695	2.57275	1.07605
0.12063	100	120	0.00987695	2.31547	1.10434
0.120462	100	120	0.00987695	2.08392	1.12876
0.120892	100	120	0.00987695	1.87553	1.14178
0.120782	100	120	0.00987695	1.68798	1.15383
0.120584	100	120	0.00987695	1.51918	1.16321
0.120417	100	120	0.00987695	1.36726	1.17011
0.120304	100	120	0.00987695	1.23054	1.17526
